"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.096550624E2,7.129932880E0,-3.670311213E0,-1.637633920E0
1.099052761E2,1.336922264E1,-3.560178041E0,8.212111592E-1
1.101567409E2,7.254431248E0,-5.942408562E0,3.083731890E0
1.104071071E2,8.362946510E0,-8.609549522E0,2.849099934E-1
1.106572292E2,1.032140350E1,-6.885724068E0,2.035071403E-1
1.109077785E2,8.779537201E0,-5.432443619E0,-8.044517636E-1
1.111579616E2,1.196143150E1,-5.125985622E0,-2.181117773E0
1.114092433E2,6.050147533E0,-4.991910458E0,-2.705447972E-1
1.116594570E2,6.919242859E0,-6.473921299E0,1.149216816E-1
1.119097927E2,6.457161903E0,-3.442862034E0,-3.878606856E-1
1.121601589E2,1.231577396E1,-7.484274387E0,6.081272364E-1
1.124102199E2,1.100853920E1,-7.790732384E0,1.206677675E0
1.126605556E2,7.026981831E0,-6.387730122E0,-8.068459630E-1
1.129105861E2,8.511386871E0,-7.316680431E0,-1.874659896E0
1.131608303E2,6.837840080E0,-3.600879431E0,-1.161187768E0
1.134123561E2,1.040998936E1,-3.430891037E0,1.051054597E0
1.136628139E2,7.366958618E0,-4.321534157E0,1.194706678E0
1.139144313E2,8.085219383E0,-8.082824707E0,1.335964561E0
1.141645839E2,9.801861763E0,-5.923254967E0,-7.900865376E-2
1.144148586E2,8.808267593E0,-4.960785866E0,-4.884171486E-1
1.146664760E2,1.231577396E1,-5.212177277E0,-2.327163935E0
1.149167812E2,5.238513470E0,-4.639962673E0,-3.495534360E-1
1.151670558E2,5.908889771E0,-6.050147533E0,1.175553083E0
1.154173305E2,6.526593685E0,-3.543418407E0,-7.876923680E-1
1.156675441E2,1.276109505E1,-7.642292023E0,2.068590164E0
1.159177272E2,1.103487587E1,-6.452373505E0,1.996764183E0
1.161678798E2,7.848193169E0,-6.919242859E0,5.027823523E-2
1.164181240E2,8.655038834E0,-7.467514992E0,-6.703764796E-1
1.166681545E2,6.770802498E0,-3.371036053E0,-1.596932530E0
1.169184291E2,1.221282291E1,-2.944868088E0,-4.309562966E-2
1.171685207E2,6.569689274E0,-4.271255970E0,1.156399369E0
1.174187648E2,8.090007782E0,-8.353369713E0,1.154005170E0
1.176688869E2,1.014902115E1,-6.208165169E0,-1.125274822E-1
1.179191616E2,9.109937668E0,-4.594472885E0,-1.699883193E-1
1.181694362E2,1.072841740E1,-4.187458992E0,-5.554547906E-1
1.184196498E2,5.758055210E0,-4.204218388E0,-1.024718285E0
1.186698940E2,5.920860767E0,-5.444414616E0,1.735796213E0
1.189199550E2,6.636727333E0,-3.758896589E0,-2.466027737E-1
1.191703212E2,1.482729149E1,-6.162675381E0,1.024718285E0
1.194203517E2,1.158314800E1,-6.279991150E0,1.750161409E0
1.196706264E2,7.630321026E0,-7.764396191E0,6.631938815E-1
1.199211757E2,9.215282440E0,-8.623914719E0,-1.022324085E0
1.201712673E2,7.615955830E0,-4.967968464E0,4.716577232E-1
1.204227016E2,1.289995861E1,-3.995922565E0,-1.656787634E0
1.206731594E2,7.199364662E0,-4.596867085E0,-1.795651317E-1
1.209232204E2,7.491456985E0,-9.131484985E0,5.506663918E-1
1.211746852E2,7.474697590E0,-4.467580318E0,-6.536170840E-1
1.214248073E2,1.250252151E1,-7.711723804E0,1.924938202E0
1.216761196E2,1.369004536E1,-7.750030994E0,2.561795712E-1
1.219264858E2,6.241683960E0,-6.358999729E0,-3.303998411E-1
1.221777065E2,8.427590370E0,-6.993463039E0,-1.333570361E0
1.224280727E2,7.620744228E0,-3.720589399E0,-1.005564705E-1
1.226781948E2,1.458787060E1,-3.471592426E0,1.644816518E0
1.229297512E2,9.445125580E0,-5.166687489E0,2.358288765E0
1.231799037E2,8.228871346E0,-8.671798706E0,9.217676520E-1
1.234302700E2,8.966285706E0,-7.668628216E0,-9.457096457E-1
1.236805751E2,8.813055992E0,-5.650316238E0,-9.337386489E-1
1.239308193E2,1.220563984E1,-4.903325081E0,-1.383848548E0
1.241821010E2,5.796362400E0,-4.809951305E0,3.112462163E-2
1.244321926E2,6.952761650E0,-7.721300602E0,1.242590666E0
1.246824977E2,6.004657745E0,-4.070142746E0,7.182604820E-2
1.249329555E2,1.244506073E1,-8.339004517E0,1.515529633E0
1.251829555E2,1.167173290E1,-7.228095055E0,1.168370485E0
1.254334438E2,5.997475147E0,-6.785167694E0,-6.512228847E-1
1.256834743E2,8.334216118E0,-7.163451672E0,-9.888052940E-1
1.259340846E2,7.125144482E0,-3.679888010E0,-1.177947283E0
1.261860378E2,1.188721180E1,-3.136404276E0,2.236184359E0
1.264366786E2,6.837840080E0,-5.159504890E0,2.408566952E0
1.266867702E2,8.082824707E0,-8.202534676E0,8.188169599E-1
1.269370143E2,8.365341187E0,-6.406883717E0,1.053448766E-1
1.271875026E2,9.342175484E0,-5.403713226E0,-2.394201607E-2
1.274379909E2,1.162145519E1,-5.870582581E0,-1.532289028E0
1.276881740E2,5.928043365E0,-5.262455463E0,2.394201756E-1
1.279396388E2,5.719748020E0,-6.646304131E0,3.998316824E-1
1.281915615E2,6.823474884E0,-3.598485231E0,-1.199495077E0
1.284418361E2,1.440112305E1,-6.770802498E0,1.505952835E0
1.286934535E2,1.076433086E1,-7.043741226E0,2.293645144E0
1.289436367E2,7.297526836E0,-7.970297337E0,4.141969085E-1
1.291951015E2,8.372523308E0,-8.171410561E0,-1.489193439E0
1.294454067E2,7.910442352E0,-4.118026733E0,-1.077390790E0
1.296956508E2,1.188481712E1,-3.172317266E0,3.112462163E-2
1.299458950E2,6.337451935E0,-4.891354084E0,4.189853072E-1
1.301960170E2,8.726864815E0,-9.255983353E0,2.226607651E-1
1.304461086E2,7.570465565E0,-4.675876141E0,9.409212470E-1
1.306963832E2,1.076911926E1,-6.754043102E0,1.017535686E0
1.309464748E2,1.319923401E1,-6.299144745E0,-8.954314590E-1
1.311964748E2,6.373364925E0,-5.999869347E0,-4.118026793E-1
1.314466274E2,6.986280441E0,-5.963956356E0,-5.458779931E-1
1.316967800E2,7.747636795E0,-3.038241863E0,-3.064578176E-1
1.319470546E2,1.376187134E1,-5.710171223E0,1.139639974E0
1.321973293E2,1.018253994E1,-5.734113216E0,2.710236311E0
1.324476039E2,8.111555099E0,-8.197746277E0,-2.873041928E-1
1.326977260E2,9.038111687E0,-8.755595207E0,-1.221042871E0
1.329481838E2,9.229647636E0,-3.890577793E0,-9.193734527E-1
1.331982143E2,1.193509579E1,-4.343081951E0,-1.089361787E0
1.334483364E2,5.410895824E0,-4.867412090E0,4.788403399E-3
1.336984889E2,7.876923561E0,-8.353369713E0,9.265560508E-1
1.339485613E2,7.333439827E0,-4.498704910E0,5.578489900E-1
1.341988665E2,1.152568722E1,-7.383718014E0,8.188169599E-1
1.344488970E2,1.268208599E1,-6.825869083E0,-5.267243981E-1
1.346989580E2,6.658275127E0,-6.631938934E0,7.278373241E-1
1.349491411E2,7.333439827E0,-6.675034523E0,-1.082179189E0
1.351992632E2,8.022970200E0,-3.265691042E0,-9.265560508E-1
1.354494768E2,1.221282291E1,-4.738125324E0,1.699883223E0
1.356997515E2,8.166622162E0,-5.090072632E0,2.169146776E0
1.359500872E2,7.718906403E0,-8.882488251E0,1.074996591E0
1.362018572E2,9.466673851E0,-6.325480938E0,7.900865376E-2
1.364519488E2,8.918401718E0,-5.236119270E0,-5.602431893E-1
1.367019488E2,1.195185471E1,-5.360617638E0,-1.101332784E0
1.369521319E2,5.374982834E0,-4.654327869E0,3.280056417E-1
1.372021929E2,6.564900875E0,-6.653486729E0,1.465251446E0
1.374523760E2,6.088454723E0,-3.519476414E0,-3.495534360E-1
1.377025896E2,1.349850941E1,-6.684611320E0,2.954444885E0
1.379526812E2,1.126232433E1,-6.447585106E0,1.766920805E0
1.382046648E2,7.697358608E0,-7.352593422E0,-2.873042040E-2
1.384566179E2,7.972691536E0,-6.998251438E0,-1.893813491E0
1.387069536E2,7.671022415E0,-3.497928619E0,-7.326257229E-1
1.389588152E2,1.274433517E1,-1.127668977E0,3.734954596E-1
1.392107378E2,5.532999992E0,-3.687070608E0,-2.130839527E-1
1.394608599E2,7.328651428E0,-8.271966934E0,2.501940727E0
1.397110125E2,7.462726593E0,-4.817133904E0,-1.096544385E0
1.399613482E2,1.161187840E1,-5.226542473E0,1.173158810E-1
1.402115923E2,1.338358784E1,-8.140285492E0,4.788403511E-1
1.404617144E2,5.645527840E0,-5.317522049E0,0.000000000E0
1.407118059E2,8.164227486E0,-6.789956093E0,-1.161187768E0
1.409619280E2,8.269572258E0,-2.322375536E0,-1.223437071E0
1.412119585E2,1.225591850E1,-4.240131378E0,2.279279947E0
1.414621416E2,8.142680168E0,-5.463568211E0,1.678335428E0
1.417122027E2,7.374141216E0,-8.674192429E0,5.698199868E-1
1.419624163E2,1.080263805E1,-7.237671852E0,1.987187415E-1
1.422124468E2,9.739612579E0,-3.818751812E0,-1.127668977E0
1.424624468E2,1.318008041E1,-5.707777023E0,-1.429338455E0
1.427125078E2,5.451597214E0,-4.709394932E0,-5.961562395E-1
1.429626299E2,6.157886982E0,-6.155492783E0,1.867477298E-1
1.432128435E2,8.056488991E0,-2.360682964E0,-2.070984364E0
1.434630573E2,1.429338455E1,-5.858611584E0,5.434837937E-1
1.437132099E2,1.018732834E1,-6.208165169E0,1.728613615E0
1.439634541E2,7.735665798E0,-7.513004780E0,-1.795651317E-1
1.442136067E2,9.191340446E0,-8.978256226E0,-1.182735682E0
1.444638508E2,7.805097580E0,-3.995922565E0,-1.446097851E0
1.447140949E2,1.334288597E1,-3.490746021E0,-1.211466074E0
1.449641255E2,5.327098846E0,-4.326322556E0,4.525041282E-1
1.452143696E2,7.898471355E0,-7.862558365E0,1.051054597E0
1.454646443E2,7.649474621E0,-3.785232782E0,-1.436520964E-1
1.457148579E2,1.149695683E1,-7.084442616E0,1.623268723E0
1.459650715E2,1.264617348E1,-6.864176273E0,9.816227108E-2
1.462154072E2,5.918466568E0,-6.466738701E0,-3.591302410E-2
1.464655598E2,7.108384609E0,-6.734889507E0,-5.027823448E-1
1.467158650E2,7.946355343E0,-2.777273893E0,-3.280056417E-1
1.469663838E2,1.300530338E1,-4.675876141E0,5.003881454E-1
1.472165058E2,8.279149055E0,-4.783615112E0,1.654393315E0
1.474678181E2,7.678205013E0,-8.827422142E0,9.097966552E-1
1.477182758E2,9.473855972E0,-6.720524311E0,-4.884171486E-1
1.479685200E2,9.624691010E0,-5.403713226E0,-8.690952063E-1
1.482197712E2,1.158314800E1,-5.918466568E0,-1.735796213E0
1.484701985E2,5.451597214E0,-5.149928093E0,-6.129156351E-1
1.487201985E2,6.509834290E0,-6.220136166E0,9.552865028E-1
1.489716794E2,6.955155849E0,-3.600879431E0,-6.847416759E-1
1.492219235E2,1.531091976E1,-4.486733913E0,-3.830722719E-2
1.494725644E2,1.026873112E1,-6.528987885E0,2.741360903E0
1.497243954E2,6.519411087E0,-8.022970200E0,9.576806426E-2
1.499746396E2,9.895236015E0,-9.105149269E0,-6.248866320E-1
1.502250668E2,7.781155586E0,-4.431667328E0,-1.527500629E0
1.504753720E2,1.321838760E1,-3.629609823E0,1.149216816E-1
1.507266537E2,6.133944988E0,-5.482721806E0,-1.675941199E-1
1.509767453E2,7.517793179E0,-7.580042362E0,1.077390790E0
1.512270505E2,7.144298077E0,-4.390965939E0,-1.915361360E-2
1.514776913E2,1.344344234E1,-7.900865555E0,4.216189384E0
1.517278439E2,1.203086376E1,-7.450755596E0,3.926490843E-1
1.519783322E2,7.790732384E0,-6.823474884E0,-1.340752989E-1
1.522285153E2,8.259995461E0,-7.627926826E0,-1.122880578E0
1.524789120E2,8.422801971E0,-3.907337189E0,-1.067813993E0
1.527291562E2,1.129823780E1,-2.506729126E0,8.355764151E-1
1.529803769E2,7.663839817E0,-4.594472885E0,7.182605267E-1
1.532306821E2,9.279925346E0,-9.425971985E0,2.466027737E-1
1.534807431E2,7.663839817E0,-5.374982834E0,4.836287498E-1
1.537311398E2,1.136288166E1,-7.249642849E0,1.228225470E0
1.539814145E2,1.263659668E1,-6.042964935E0,-8.643068075E-1
1.542315976E2,5.947196960E0,-5.743690014E0,-7.613561153E-1
1.544821164E2,7.965508938E0,-5.518634796E0,-5.291185975E-1
1.547324826E2,6.943184853E0,-2.973598480E0,-1.699883223E0
1.549827267E2,1.530852604E1,-5.013458252E0,2.772485495E0
1.552342526E2,9.090784073E0,-4.908113480E0,2.585737944E0
1.554846188E2,8.104372978E0,-8.623914719E0,1.101332754E-1
1.557351071E2,8.935160637E0,-7.656657219E0,1.675941236E-2
1.559854123E2,1.000297451E1,-5.410895824E0,-1.175553083E0
1.562356564E2,1.233253288E1,-5.147533417E0,-2.027888775E0
1.564871823E2,5.925649166E0,-5.204994678E0,-5.410895944E-1
1.567373349E2,6.495469093E0,-6.181828976E0,2.549824715E0
1.569880063E2,5.951985359E0,-3.519476414E0,2.346317619E-1
1.572384030E2,1.257434750E1,-6.756437302E0,2.315192938E0
1.574885251E2,1.157357121E1,-6.588842869E0,1.893813491E0
1.577386777E2,6.938396454E0,-7.797914982E0,-6.368576288E-1
1.579889523E2,7.872135162E0,-7.632715225E0,-1.912967205E0
1.582392270E2,8.164227486E0,-3.696647406E0,-1.881842494E0
1.584908444E2,1.304600525E1,-3.059789658E0,-1.527500629E0
1.587409970E2,7.625532627E0,-5.140350819E0,6.464344859E-1
1.589914243E2,7.474697590E0,-8.911218643E0,1.041477680E0
1.592416074E2,9.409213066E0,-4.936843872E0,9.600749016E-1
1.594928891E2,1.176271248E1,-6.866570473E0,2.008735180E0
1.597441708E2,1.349132633E1,-6.962338448E0,-1.149216771E0
1.599944455E2,6.095637321E0,-7.173028469E0,5.027823523E-2
1.602449033E2,7.560888767E0,-6.459556103E0,-1.711854219E0
1.604968564E2,9.457097054E0,-3.940855980E0,-1.319205165E0
1.607471616E2,1.399410915E1,-2.877830505E0,-2.513911724E-1
1.609975278E2,7.745242596E0,-5.504269600E0,1.833958507E0
1.612477719E2,7.445967197E0,-8.789113998E0,-6.105214357E-1
1.614982602E2,9.758766174E0,-6.172252178E0,5.817909837E-1
1.617485043E2,1.083855152E1,-6.435614109E0,-1.388636976E-1
1.619989011E2,1.354878712E1,-5.963956356E0,-1.510741234E0
1.622491147E2,5.559336185E0,-5.841852188E0,-6.296750307E-1
1.625002744E2,6.936002254E0,-6.069301128E0,1.118092179E0
1.627518613E2,7.034164429E0,-3.323152065E0,1.819593310E-1
1.630037839E2,1.541147614E1,-5.449203014E0,1.872265697E0
1.632542722E2,1.005564690E1,-5.240907669E0,2.784456491E0
1.635045163E2,7.759607792E0,-8.935160637E0,3.399766386E-1
1.637549130E2,9.519346237E0,-7.709329605E0,-1.972822189E0
1.640053708E2,8.676587105E0,-4.568136692E0,-9.050082564E-1
1.642554929E2,1.128866100E1,-3.957615376E0,-1.292868972E0
1.645058286E2,6.732495308E0,-5.219359875E0,2.777273953E-1
1.647571103E2,7.359776020E0,-9.363722801E0,1.264138460E0
1.650090024E2,7.244854450E0,-4.378994942E0,7.469909191E-1
1.652597653E2,1.156878281E1,-6.947973251E0,1.213860273E0
1.655115659E2,1.385045719E1,-7.022193432E0,-6.153098345E-1
1.657618405E2,5.846640587E0,-6.069301128E0,-7.278373241E-1
1.660132748E2,8.248024940E0,-6.794744492E0,-2.346317619E-1
1.662635800E2,7.510610580E0,-2.650381327E0,-4.261679053E-1
1.665140073E2,1.436760426E1,-5.473145008E0,8.643068075E-1
1.667642297E2,7.958326340E0,-5.355829239E0,2.461239338E0
1.670145349E2,9.057265282E0,-8.418013573E0,-3.280056417E-1
1.672651452E2,8.944737434E0,-7.541735172E0,-1.383848548E0
1.675153283E2,8.078036308E0,-4.460397720E0,-4.118026793E-1
1.677658166E2,1.142034245E1,-5.116408825E0,-1.929726601E0
1.680160302E2,5.597643375E0,-4.881777287E0,-2.154781520E-1
1.682663049E2,8.106766701E0,-7.292738438E0,1.029506698E-1
1.685168237E2,6.794744492E0,-3.818751812E0,3.878606856E-1
1.687668237E2,1.258631802E1,-6.622362137E0,2.044648170E0
1.690175561E2,1.165736771E1,-6.864176273E0,1.015141487E0
1.692676477E2,7.189787865E0,-6.567295074E0,-6.560112834E-1
1.695181054E2,8.046912193E0,-7.896077156E0,-1.003170490E0
1.697683496E2,8.130708694E0,-2.614468336E0,-1.137245774E0
1.700186242E2,1.202846909E1,-2.427720547E0,6.416460276E-1
1.702690515E2,6.514622688E0,-4.671087742E0,7.685387731E-1
1.705190515E2,7.642292023E0,-9.318233490E0,2.082955539E-1
1.707694177E2,9.222464561E0,-5.051765442E0,-2.418143749E-1
1.710194787E2,1.065419769E1,-6.004657745E0,4.357447028E-1
1.712706994E2,1.348653793E1,-5.813121796E0,-4.261679053E-1
1.715210656E2,5.681440830E0,-5.724536419E0,-1.434126854E0
1.717712182E2,7.314286232E0,-6.069301128E0,9.983820915E-1
1.720218591E2,6.296750546E0,-2.954444885E0,-4.596867263E-1
1.722720422E2,1.328063679E1,-5.252878666E0,1.082179189E0
1.725223779E2,8.755595207E0,-4.929661274E0,2.652775526E0
1.727728662E2,8.609549522E0,-8.669404030E0,4.572925270E-1
1.730230798E2,9.153033257E0,-7.982268333E0,-7.805097699E-1
1.732733850E2,8.271966934E0,-5.295974255E0,-7.852981687E-1
1.735235986E2,1.183453941E1,-5.820304394E0,-1.611297727E0
1.737738427E2,5.114014626E0,-4.891354084E0,-4.070142806E-1
1.740253991E2,6.071695328E0,-7.074865818E0,-4.525041282E-1
1.742756738E2,6.153098583E0,-3.430891037E0,-5.937620401E-1
1.745259790E2,1.529416084E1,-7.201758862E0,1.841141105E0
1.747762231E2,8.851364136E0,-5.932831764E0,1.668758631E0
1.750265283E2,9.306262016E0,-8.808267593E0,-6.943184882E-2
1.752781457E2,8.372523308E0,-9.062053680E0,-7.062895298E-1
1.755283899E2,8.003816605E0,-4.915296078E0,-8.690952063E-1
1.757787866E2,1.241154194E1,-4.862623692E0,-1.223437071E0
1.760290613E2,6.153098583E0,-4.754884720E0,-2.274491638E-1
