"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.284845287E1,-2.551308274E-1,1.037567616E0,6.625944972E-1
7.310040600E1,4.756405652E-1,2.322276533E-1,-1.387506962E0
7.335061962E1,-1.097222418E-1,-1.187769845E-1,-5.315669775E-1
7.360083324E1,2.892192900E-1,2.668487430E-1,6.242449880E-1
7.385101635E1,-5.060006380E-1,-1.880191714E-1,9.875001311E-1
7.410147412E1,3.515372798E-2,-6.700513363E-1,-9.427590370E-1
7.435180981E1,8.644620776E-1,-1.088700294E0,-1.051416039E0
7.460205395E1,-6.002765298E-1,8.080030680E-1,3.435477912E-1
7.485214550E1,-1.070590764E-1,7.211840153E-1,5.560680628E-1
7.510242016E1,1.241033077E-1,2.476739883E-1,1.107874990E0
7.535245068E1,9.161274135E-2,6.860303283E-1,-1.474858642E0
7.560275585E1,1.454086006E-1,-1.404551148E0,-2.221076339E-1
7.585290844E1,4.016047120E-1,-1.246359423E-1,8.937568665E-1
7.610315258E1,-3.946804702E-1,-3.499393761E-1,8.660600185E-1
7.635336620E1,8.873652816E-1,-2.647182047E-1,-3.643204570E-1
7.660367138E1,3.483414650E-1,7.542072535E-1,-1.639974594E0
7.685388500E1,-4.575310946E-1,2.524676621E-1,7.803062201E-1
7.710406811E1,-6.727145314E-1,1.143561363E0,4.697816372E-1
7.735443432E1,-1.027980223E-1,-5.070658922E-1,1.035437107E0
7.760489208E1,-8.042746782E-2,-8.767126203E-1,-1.374723792E0
7.785507519E1,3.009372056E-1,-9.970875382E-1,-1.130245566E0
7.810519726E1,-2.892192900E-1,3.637878001E-1,9.949570298E-1
7.835538036E1,-7.057377100E-1,5.331648588E-1,7.568703890E-1
7.860583813E1,1.123853996E-1,9.944243431E-1,4.788363874E-1
7.885769970E1,5.310343504E-1,8.325041533E-1,-1.660214663E0
7.910800488E1,6.178534031E-2,-6.625944972E-1,4.474110603E-1
7.935809643E1,-6.444849819E-2,2.364887148E-1,6.711165905E-1
7.960824902E1,-3.398193717E-1,-2.908172011E-1,8.277105093E-1
7.985986645E1,7.297061682E-1,-1.320395350E0,-7.515440583E-1
8.011020214E1,6.269081235E-1,-1.315601617E-1,-1.115864515E0
8.036047680E1,-5.065332651E-1,1.250087857E0,7.424893379E-1
8.061185009E1,-1.123853996E-1,9.933590889E-1,8.069378138E-1
8.086224682E1,-2.854908705E-1,5.336974859E-1,8.506136537E-1
8.111236889E1,9.587380290E-2,-3.025351167E-1,-1.080710769E0
8.136252148E1,-2.253034264E-1,-1.246359468E0,-7.952198982E-1
8.161377270E1,1.560612470E-1,-3.845604658E-1,8.783105612E-1
8.186532862E1,-1.592570394E-1,-5.139901042E-1,7.803062201E-1
8.211554225E1,7.147924304E-1,-1.565938741E-1,-2.663161233E-2
8.236712916E1,4.538026452E-1,5.581985712E-1,-1.489772320E0
8.261734278E1,-5.954828262E-1,4.532700181E-1,3.036003709E-1
8.286764796E1,-7.030745596E-2,9.757822156E-1,9.486179948E-1
8.311804469E1,-9.512811303E-1,-1.544633508E-2,1.166997194E0
8.336838038E1,4.985437691E-1,-1.690042019E0,-1.078047633E0
8.361981471E1,-1.864212751E-2,-1.073786616E0,-1.430650115E0
8.386987574E1,2.503371425E-2,3.930825889E-1,9.283779860E-1
8.412024196E1,9.123989940E-1,4.724447727E-1,8.996158242E-1
8.437060817E1,4.665858448E-1,1.970739290E-2,7.291735411E-1
8.462079127E1,4.756405652E-1,2.418150306E-1,-1.498294473E0
8.487143214E1,-5.150553584E-1,-7.270429730E-1,-1.193096191E-1
8.512149318E1,-1.171790902E-2,-3.046656251E-1,7.062703371E-1
8.537207301E1,-5.651227832E-1,-4.415521026E-1,8.894958496E-1
8.562326320E1,7.360977530E-1,-9.134642482E-1,-5.347627401E-1
8.587356837E1,6.221144199E-1,9.321063757E-2,-1.509479761E0
8.612518580E1,-6.487460732E-1,1.137169838E0,3.701793849E-1
8.637527736E1,-1.331580617E-2,1.070058107E0,1.126517177E0
8.662579615E1,-4.213120937E-1,3.547330499E-1,1.152083516E0
8.687600978E1,1.704423130E-2,-8.617989421E-1,-1.351287961E0
8.712716944E1,7.989483327E-2,-1.208009839E0,-1.007740140E0
8.737759669E1,-2.764361203E-1,5.352953672E-1,6.641923785E-1
8.762784083E1,7.882956862E-1,-3.563309610E-1,1.092428684E0
8.787829860E1,-6.471481323E-1,2.188585758E0,2.055960447E-1
8.812854274E1,5.502091050E-1,7.355651259E-1,-1.305481553E0
8.837970240E1,-5.320996046E-1,-5.821670294E-1,-1.597896665E-1
8.863000758E1,7.403588295E-2,-2.844256163E-1,4.362258017E-1
8.888110621E1,-5.917543769E-1,-3.994741738E-1,7.446198463E-1
8.913260157E1,6.109291911E-1,-1.328384757E0,-9.060074091E-1
8.938458522E1,4.117247164E-1,-6.024070382E-1,-1.269262552E0
8.963492091E1,-1.040763378E0,1.081776023E0,3.984089196E-1
8.988507350E1,-5.315669775E-1,7.872304320E-1,9.528790712E-1
9.013519557E1,-4.372910559E-1,2.055960447E-1,9.704559445E-1
