"Time (s)","Illuminance (lx)"
2.661880134E2,1.602000000E3
2.664864143E2,1.649000000E3
2.667836250E2,1.927000000E3
2.670817818E2,1.823000000E3
2.675774177E2,1.597000000E3
2.678758491E2,2.116000000E3
2.682729133E2,2.150000000E3
2.686697334E2,2.155000000E3
2.689952339E2,2.582000000E3
2.692923836E2,2.849000000E3
2.696893867E2,2.819000000E3
2.700864509E2,2.861000000E3
2.703384956E2,4.500000000E1
2.707229866E2,6.750000000E2
2.710214180E2,2.723000000E3
2.713185371E2,2.778000000E3
2.716442818E2,2.885000000E3
2.718961433E2,4.700000000E1
2.722805427E2,7.130000000E2
2.725348762E2,9.240000000E2
2.728320846E2,2.028000000E3
2.731292037E2,1.918000000E3
2.734276351E2,2.091000000E3
2.737247848E2,2.480000000E3
2.740231857E2,2.377000000E3
2.743204269E2,1.732000000E3
2.747172469E2,1.752000000E3
2.752141647E2,1.918000000E3
2.755111617E2,1.725000000E3
2.758096542E2,1.832000000E3
2.761068649E2,2.190000000E3
2.764051437E2,2.118000000E3
2.767070236E2,1.804000000E3
2.770281295E2,2.235000000E3
2.773539047E2,3.250000000E3
2.778121261E2,6.310000000E2
2.780627059E2,5.900000000E1
2.785042037E2,5.900000000E2
2.788058395E2,1.069000000E3
2.791270675E2,1.350000000E3
2.794255294E2,2.361000000E3
2.797227706E2,3.039000000E3
2.801890182E2,5.500000000E2
2.807466659E2,7.880000000E2
2.810435367E2,2.274000000E3
2.813691898E2,1.733000000E3
2.816677128E2,2.566000000E3
2.822246891E2,6.520000000E2
2.825218998E2,1.936000000E3
2.828236271E2,1.801000000E3
2.830746036E2,1.326000000E3
2.833717228E2,2.107000000E3
2.838959537E2,1.464000000E3
2.841944767E2,2.419000000E3
2.845202213E2,2.479000000E3
2.848171879E2,1.625000000E3
2.851428104E2,1.711000000E3
2.854684635E2,1.377000000E3
2.857669559E2,1.871000000E3
2.862910648E2,1.536000000E3
2.866167179E2,2.500000000E3
2.869137760E2,2.343000000E3
2.872121769E2,2.055000000E3
2.875375858E2,1.998000000E3
2.877918583E2,1.399000000E3
2.881175724E2,1.928000000E3
2.884438358E2,1.403000000E3
2.887406193E2,2.317000000E3
2.889949833E2,1.386000000E3
2.893204838E2,1.894000000E3
2.896460453E2,1.554000000E3
2.899445682E2,2.486000000E3
2.902021671E2,7.770000000E2
2.905244327E2,2.072000000E3
2.908498112E2,1.667000000E3
2.911469608E2,2.661000000E3
2.914226566E2,1.700000000E1
2.918309508E2,5.230000000E2
2.920850402E2,8.800000000E1
2.925537291E2,8.510000000E2
2.931110106E2,7.750000000E2
2.933629638E2,1.076000000E3
2.938120299E2,1.347000000E3
2.944055358E2,1.165000000E3
2.949807616E2,1.447000000E3
2.955833312E2,1.213000000E3
2.961588317E2,1.537000000E3
2.967647277E2,1.167000000E3
2.973431273E2,1.177000000E3
2.975973388E2,9.610000000E2
2.980702697E2,1.471000000E3
2.983224364E2,1.288000000E3
2.988038512E2,1.391000000E3
2.994381896E2,1.712000000E3
