"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.621501866E1,-2.159999847E0,5.639999771E1,8.099999428E0
5.646923009E1,-3.119999886E0,6.005999756E1,4.500000000E0
5.672334996E1,-1.199999928E0,6.761999512E1,2.159999847E0
5.697740880E1,9.599999785E-1,6.977999878E1,1.919999957E0
5.723158971E1,-5.339999676E0,5.436000061E1,8.999999762E-1
5.748586217E1,-5.759999752E0,4.829999924E1,4.799999714E0
5.773909703E1,-1.679999948E0,6.540000153E1,1.919999957E0
5.799321691E1,2.339999914E0,7.247999573E1,2.460000038E0
5.824642125E1,-2.279999971E0,6.311999893E1,1.439999938E0
5.850048009E1,-5.400000095E0,4.709999847E1,9.599999785E-1
5.875469151E1,-4.619999886E0,5.484000015E1,1.379999995E0
5.900884191E1,-2.999999821E-1,6.815999603E1,1.259999990E0
5.926512853E1,2.819999933E0,7.331999969E1,-1.679999948E0
5.951933995E1,-2.759999990E0,6.131999969E1,2.999999821E-1
5.977358190E1,-3.299999952E0,5.531999969E1,4.920000076E0
6.002870885E1,-1.079999924E0,6.804000092E1,-5.999999866E-2
6.028304234E1,4.799999714E0,7.391999817E1,2.939999819E0
6.053710118E1,2.339999914E0,7.169999695E1,5.339999676E0
6.079134313E1,-2.939999819E0,5.550000000E1,9.960000038E0
6.104555455E1,-2.819999933E0,5.837999725E1,6.359999657E0
6.130196324E1,2.220000029E0,7.229999542E1,4.319999695E0
6.155590001E1,1.979999900E0,7.368000031E1,3.720000029E0
6.181001988E1,-4.739999771E0,5.855999756E1,5.699999809E0
6.206420079E1,-3.899999857E0,5.465999985E1,1.085999966E1
6.231822911E1,-4.440000057E0,6.408000183E1,3.899999857E0
6.257247106E1,2.759999990E0,7.386000061E1,7.559999943E0
6.282665196E1,-2.039999962E0,6.473999786E1,6.719999790E0
6.308092442E1,-3.720000029E0,5.027999878E1,1.115999985E1
6.333507482E1,-4.559999943E0,5.693999863E1,6.960000038E0
6.358901158E1,-1.079999924E0,6.743999481E1,6.239999771E0
6.384316197E1,-3.599999845E-1,7.055999756E1,4.739999771E0
6.409740392E1,-6.539999962E0,5.586000061E1,2.879999876E0
6.435158482E1,-4.440000057E0,5.447999954E1,7.440000057E0
6.460567418E1,-4.440000057E0,6.203999710E1,-3.599999845E-1
6.485982457E1,1.019999981E0,6.990000153E1,1.740000010E0
6.511400548E1,-5.399999619E-1,6.587999725E1,4.619999886E0
6.536815587E1,-3.359999895E0,5.087999725E1,6.480000019E0
6.562218419E1,-4.619999886E0,5.747999954E1,3.659999847E0
6.587651769E1,-4.199999869E-1,6.845999908E1,3.959999800E0
6.613051549E1,2.099999905E0,7.254000092E1,2.399999857E0
6.638466588E1,-3.899999857E0,5.952000046E1,1.620000005E0
6.663887731E1,-4.559999943E0,5.555999756E1,4.199999809E0
6.689321080E1,-2.700000048E0,6.647999573E1,6.599999666E-1
6.714736119E1,2.700000048E0,7.469999695E1,1.860000014E0
6.740151158E1,-8.999999762E-1,6.887999725E1,2.039999962E0
6.765581456E1,-4.500000000E0,5.634000015E1,6.119999886E0
6.790993443E1,-4.380000114E0,6.395999908E1,2.220000029E0
6.816411534E1,7.199999690E-1,7.350000000E1,5.999999866E-2
6.841841832E1,1.979999900E0,7.709999847E1,-4.199999869E-1
6.867256871E1,-4.559999943E0,6.504000092E1,7.799999714E-1
6.892687169E1,-5.279999733E0,5.891999817E1,3.899999857E0
6.918090001E1,-4.199999809E0,6.600000000E1,-2.339999914E0
6.943520299E1,9.599999785E-1,7.458000183E1,4.199999869E-1
6.968947545E1,-3.779999971E0,6.540000153E1,1.500000000E0
6.994362584E1,-3.419999838E0,5.615999985E1,8.159999847E0
7.019762364E1,-5.460000038E0,5.975999832E1,1.199999928E0
7.045180455E1,-1.679999948E0,6.887999725E1,1.199999973E-1
7.070622960E1,1.860000014E0,7.368000031E1,1.679999948E0
7.096037999E1,-4.619999886E0,5.705999756E1,1.319999933E0
7.121465245E1,-2.939999819E0,5.177999878E1,6.239999771E0
7.146880284E1,-1.979999900E0,6.468000031E1,7.199999690E-1
7.172292272E1,4.019999981E0,7.355999756E1,3.959999800E0
7.197698155E1,-9.599999785E-1,6.239999771E1,1.979999900E0
7.223119298E1,-1.740000010E0,5.345999908E1,7.679999828E0
7.248514111E1,-1.319999933E0,5.909999847E1,3.539999962E0
7.273935253E1,7.799999714E-1,6.731999969E1,1.319999933E0
7.299335034E1,2.339999914E0,6.954000092E1,2.159999847E0
7.324731762E1,-9.599999785E-1,6.047999954E1,4.500000000E0
7.350152905E1,-3.419999838E0,5.357999802E1,5.879999638E0
7.375580151E1,-2.700000048E0,5.969999695E1,1.379999995E0
7.401010449E1,7.799999714E-1,6.900000000E1,8.999999762E-1
7.426449902E1,-3.059999943E0,6.347999954E1,2.159999847E0
7.451867992E1,-1.439999938E0,5.747999954E1,1.080000019E1
7.477279980E1,-3.299999952E0,5.981999969E1,6.420000076E0
7.502688915E1,-1.979999900E0,6.600000000E1,3.480000019E0
7.528100903E1,8.399999738E-1,7.104000092E1,4.199999809E0
7.553509838E1,-4.259999752E0,5.802000046E1,3.599999905E0
7.578943188E1,-3.779999971E0,5.634000015E1,8.220000267E0
7.604361279E1,-2.639999866E0,6.605999756E1,2.399999857E0
7.629785473E1,2.819999933E0,7.223999786E1,5.940000057E0
7.655203564E1,-1.439999938E0,6.486000061E1,6.960000038E0
7.680621655E1,-3.720000029E0,5.453999710E1,9.479999542E0
7.706036694E1,-3.359999895E0,6.137999725E1,6.599999905E0
7.731473095E1,-2.279999971E0,6.618000031E1,5.159999847E0
7.756915600E1,5.999999866E-2,7.019999695E1,5.039999962E0
7.782339794E1,-5.339999676E0,5.634000015E1,4.859999657E0
7.807736523E1,-5.039999962E0,5.268000031E1,7.919999599E0
7.833157665E1,-2.759999990E0,6.359999847E1,4.500000000E0
7.858597118E1,6.599999666E-1,6.983999634E1,6.299999714E0
7.883990795E1,-2.339999914E0,6.672000122E1,5.819999695E0
7.909424145E1,-4.199999809E0,5.513999939E1,8.460000038E0
7.934820873E1,-3.240000010E0,6.119999695E1,6.239999771E0
7.960235912E1,-2.399999946E-1,7.008000183E1,2.639999866E0
7.985791332E1,1.439999938E0,7.481999969E1,1.559999943E0
8.011224682E1,-4.920000076E0,6.203999710E1,1.199999928E0
8.036648876E1,-3.779999971E0,5.615999985E1,7.919999599E0
8.062182934E1,-3.419999838E0,6.443999481E1,4.019999981E0
8.087613232E1,1.979999900E0,7.205999756E1,4.799999714E0
8.113025219E1,-5.399999619E-1,6.851999664E1,4.920000076E0
8.138434155E1,-2.879999876E0,5.741999817E1,8.819999695E0
8.163882716E1,-4.799999714E0,5.831999969E1,4.139999866E0
8.189309962E1,-1.740000010E0,6.809999847E1,4.199999869E-1
8.214731105E1,1.079999924E0,7.433999634E1,2.399999946E-1
8.240292628E1,-4.319999695E0,6.143999863E1,1.379999995E0
8.265701564E1,-3.599999905E0,5.652000046E1,8.039999962E0
8.291134913E1,-4.079999924E0,6.197999954E1,1.799999952E0
8.316577418E1,5.399999619E-1,7.181999969E1,1.979999900E0
8.342102321E1,2.399999857E0,7.326000214E1,3.839999914E0
8.367544825E1,-4.440000057E0,5.597999954E1,7.139999866E0
8.392941554E1,-5.039999962E0,5.777999878E1,4.380000114E0
8.418396266E1,-1.919999957E0,6.995999908E1,1.500000000E0
8.443817408E1,4.380000114E0,7.823999786E1,3.240000010E0
8.469449122E1,-2.819999933E0,6.515999603E1,6.359999657E0
8.494882472E1,-3.419999838E0,5.513999939E1,1.301999950E1
8.520395167E1,-4.559999943E0,6.107999802E1,6.779999733E0
8.545956691E1,-1.919999957E0,6.876000214E1,6.359999657E0
8.571271022E1,-1.500000000E0,7.026000214E1,5.400000095E0
8.596820338E1,-6.539999962E0,5.543999863E1,5.639999866E0
8.622253688E1,-6.659999847E0,5.250000000E1,3.659999847E0
8.647748072E1,-4.559999943E0,6.300000000E1,5.999999866E-2
8.673315699E1,5.999999866E-2,7.169999695E1,1.799999923E-1
8.698730738E1,-3.419999838E0,6.239999771E1,9.599999785E-1
8.724255641E1,-3.539999962E0,5.279999924E1,6.899999619E0
8.749682887E1,-4.440000057E0,5.993999863E1,1.799999952E0
8.775107081E1,1.019999981E0,7.158000183E1,1.679999948E0
8.800546534E1,1.740000010E0,7.373999786E1,-5.399999619E-1
8.825934108E1,-2.939999819E0,6.329999924E1,-1.799999923E-1
8.851489528E1,-3.299999952E0,5.915999985E1,4.559999943E0
8.876901515E1,-3.240000010E0,6.593999481E1,-7.199999690E-1
8.902524073E1,2.220000029E0,7.241999817E1,3.599999845E-1
8.927942164E1,-7.799999714E-1,6.786000061E1,2.460000038E0
8.953564723E1,-2.700000048E0,5.681999969E1,7.019999981E0
8.978991969E1,-4.319999695E0,5.981999969E1,1.500000000E0
9.004379542E1,-2.399999946E-1,6.929999542E1,1.559999943E0
9.030011256E1,2.460000038E0,7.445999908E1,2.999999821E-1
9.055417140E1,-3.359999895E0,6.209999847E1,2.159999847E0
9.081036647E1,-2.759999990E0,5.405999756E1,7.859999657E0
9.106454738E1,-2.819999933E0,6.275999832E1,3.599999845E-1
9.131878932E1,3.419999838E0,7.326000214E1,5.999999642E-1
9.157532008E1,1.979999900E0,6.936000061E1,3.659999847E0
9.182950099E1,-1.500000000E0,5.603999710E1,7.619999886E0
9.208587916E1,-3.000000000E0,5.687999725E1,2.039999962E0
9.234024318E1,-5.399999619E-1,6.540000153E1,5.999999642E-1
9.259433253E1,3.659999847E0,7.463999939E1,-4.199999869E-1
9.285064967E1,-9.599999785E-1,6.558000183E1,2.460000038E0
9.310480006E1,-1.979999900E0,5.586000061E1,8.939999580E0
9.336099513E1,-3.299999952E0,6.234000015E1,2.460000038E0
9.361514552E1,1.860000014E0,7.163999939E1,3.599999905E0
9.387109645E1,1.799999952E0,7.158000183E1,6.179999828E0
9.412539943E1,-3.959999800E0,5.765999985E1,6.480000019E0
9.437964137E1,-4.500000000E0,5.903999710E1,4.980000019E0
9.463617213E1,-2.159999847E0,6.923999786E1,1.139999986E0
9.489020045E1,3.059999943E0,7.668000031E1,2.279999971E0
9.514770778E1,-2.279999971E0,6.647999573E1,3.480000019E0
9.540194972E1,-2.279999971E0,5.184000015E1,1.301999950E1
9.565701564E1,-6.000000000E0,5.543999863E1,4.440000057E0
9.591253932E1,-2.220000029E0,6.726000214E1,3.839999914E0
9.616672023E1,-1.259999990E0,6.786000061E1,3.480000019E0
9.642331202E1,-7.019999981E0,5.303999710E1,5.399999619E-1
9.667740138E1,-8.579999924E0,4.818000031E1,-1.319999933E0
9.693377955E1,-5.940000057E0,6.185999680E1,-1.919999957E0
9.718808253E1,-5.279999733E0,6.365999985E1,-5.819999695E0
9.744226344E1,-8.519999504E0,5.759999847E1,-7.559999943E0
9.769885524E1,-8.699999809E0,4.793999863E1,-5.579999924E0
9.795285304E1,-4.980000019E0,6.137999725E1,4.559999943E0
9.820923121E1,2.399999946E-1,7.037999725E1,4.019999981E0
9.846350367E1,-5.999999642E-1,7.254000092E1,9.599999785E-1
9.871988185E1,-4.739999771E0,5.784000015E1,3.240000010E0
9.897418483E1,-7.319999695E0,5.136000061E1,5.159999847E0
9.922827418E1,-3.659999847E0,6.504000092E1,2.279999971E0
9.948486598E1,1.259999990E0,7.277999878E1,4.619999886E0
9.973901637E1,-1.559999943E0,6.768000031E1,5.699999809E0
9.999536402E1,-2.759999990E0,5.639999771E1,9.000000000E0
1.002493923E2,-5.940000057E0,5.615999985E1,4.859999657E0
1.005046109E2,-1.439999938E0,6.743999481E1,3.480000019E0
1.007601956E2,1.019999981E0,7.337999725E1,2.159999847E0
1.010142849E2,-3.539999962E0,6.125999832E1,3.240000010E0
1.012709683E2,-4.559999943E0,5.213999939E1,6.059999943E0
1.015251187E2,-2.579999924E0,6.486000061E1,1.079999924E0
1.017815884E2,2.099999905E0,7.133999634E1,4.799999714E0
1.020361355E2,-1.439999938E0,6.773999786E1,3.240000010E0
1.022903164E2,-4.259999752E0,5.718000031E1,5.940000057E0
1.025467251E2,-4.319999695E0,5.819999695E1,3.299999952E0
1.028007839E2,-1.259999990E0,6.737999725E1,2.039999962E0
1.030572537E2,4.139999866E0,7.590000153E1,1.919999957E0
1.033116481E2,-3.539999962E0,6.275999832E1,2.099999905E0
1.035679042E2,-4.440000057E0,5.165999985E1,6.059999943E0
1.038222377E2,-1.799999923E-1,6.827999878E1,3.659999847E0
1.040763576E2,5.400000095E0,7.583999634E1,5.099999905E0
1.043329189E2,6.599999666E-1,6.990000153E1,2.819999933E0
1.045871608E2,-2.519999981E0,5.568000031E1,7.919999599E0
1.048435085E2,-4.319999695E0,5.453999710E1,5.339999676E0
1.050977809E2,-2.039999962E0,6.473999786E1,3.480000019E0
1.053540676E2,3.059999943E0,7.254000092E1,2.819999933E0
