"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.149941230E1,8.239820600E-1,1.668204188E0,-2.523611546E0
5.175029731E1,-3.866910040E-1,-8.149272949E-2,8.847021461E-1
5.200154853E1,-1.726261020E0,-1.654888391E0,1.254881501E0
5.225264716E1,1.774197936E0,1.620267272E0,-3.168096542E0
5.250408148E1,9.438242912E-1,1.022653878E-1,1.169127703E0
5.275505805E1,-2.402171373E0,-1.214934111E0,9.246495366E-1
5.300603461E1,1.335841656E0,2.357430220E0,-3.342799902E0
5.325716376E1,9.693906307E-1,3.094593287E-1,-4.740426689E-2
5.350823188E1,-2.869289875E0,6.125270575E-2,2.523078918E0
5.375942206E1,5.816344023E-1,6.317018270E-1,-1.359277487E0
5.401055121E1,9.310411215E-1,4.932174385E-1,1.725728363E-1
5.426201606E1,-2.410160780E0,-1.271393180E0,2.191781521E0
5.451341986E1,2.599245310E-1,-4.117247164E-1,-2.993393242E-1
5.476454901E1,3.643204570E-1,1.002413869E0,-5.187838078E-1
5.501555609E1,-9.523464441E-1,-6.950850487E-1,5.805691481E-1
5.526686835E1,-1.587243974E-1,-9.092032313E-1,-7.723167539E-2
5.551775336E1,2.800580263E0,7.153250575E-1,-2.809634924E0
5.576876044E1,-2.652508616E-1,-4.617921412E-1,1.018925428E0
5.601952338E1,-2.892192900E-1,-1.881789684E0,8.362326026E-1
5.627092719E1,2.901780367E0,1.179247737E0,-3.452522039E0
5.652190375E1,-4.846953228E-2,7.462177277E-1,1.858886480E-1
5.677291083E1,-2.039448738E0,-6.524744630E-1,8.948221207E-1
5.702407050E1,-1.056209683E0,2.222674370E0,-2.570483208E0
5.727507758E1,2.346245050E0,6.103965044E-1,-6.572681665E-1
5.752632880E1,-3.249056578E0,-1.323591113E0,2.733468533E0
5.777754950E1,1.222923636E0,5.475459099E-1,-1.181910872E0
5.802858710E1,1.690042019E0,1.076982379E0,6.604639888E-1
5.827974677E1,-2.849049807E0,-1.344896317E0,2.189651012E0
5.853118109E1,1.699096859E-1,-7.840346098E-1,-7.403588295E-2
5.878194403E1,9.092032313E-1,1.224521518E0,-3.898867965E-1
5.903310370E1,-1.723065257E0,7.243798673E-2,4.740426838E-1
5.928453803E1,-1.043959185E-1,-1.270327806E0,6.348975897E-1
5.953554511E1,2.246642828E0,1.174454093E0,-2.446379900E0
5.978685736E1,-6.775081754E-1,8.841694891E-2,1.142496109E0
6.003844428E1,-1.735848427E0,-1.527589202E0,8.554073572E-1
6.028926825E1,2.013882399E0,5.635249019E-1,-3.064765930E0
6.054058051E1,9.800432920E-1,2.556634694E-2,2.130528912E-2
6.079174018E1,-2.262089014E0,-5.470132828E-1,1.417334318E0
6.104289984E1,1.114799261E0,1.470064998E0,-3.282612324E0
6.129415106E1,1.241565704E0,7.435545921E-1,4.820321798E-1
6.154515814E1,-3.520166397E0,-4.223773479E-1,3.017894268E0
6.179628730E1,7.611314654E-1,5.416869521E-1,-2.247707993E-1
6.204769110E1,7.664577961E-1,9.235842824E-1,3.957457542E-1
6.229891181E1,-3.468501091E0,-1.195226669E0,1.911617041E0
6.255004096E1,1.544633508E-1,-5.912217870E-2,-3.680488765E-1
6.280120063E1,6.199839115E-1,1.658084154E0,1.033306494E-1
6.305217719E1,-1.677258849E0,-3.589941263E-1,7.526093125E-1
6.330330634E1,-5.075985193E-1,-7.057377100E-1,8.948221803E-2
6.355434394E1,5.129248500E-1,1.926530719E0,-1.569134593E0
6.380535102E1,-5.017395616E-1,-2.130528912E-2,1.102016091E0
6.405657172E1,-1.641572475E0,-1.333711147E0,7.989483327E-2
6.430763983E1,2.009088755E0,1.989914060E0,-3.232544899E0
6.455858588E1,1.098287702E0,1.241033077E-1,-1.422128081E-1
6.480992865E1,-1.545698762E0,2.785666585E-1,1.656486273E0
6.506157660E1,1.322525859E0,2.550243139E0,-2.816559315E0
6.531304145E1,8.127967715E-1,-6.977482140E-2,2.684466541E-1
6.556435370E1,-1.623995662E0,-2.720685482E0,2.567820072E0
