"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.454882025E1,3.240000010E0,2.885999870E1,-3.359999847E1
5.479982733E1,2.393999863E1,1.259999943E1,-3.239999771E1
5.505092597E1,1.871999931E1,1.284000015E1,-3.011999893E1
5.530223822E1,5.159999847E0,3.204000092E1,-3.654000092E1
5.555315375E1,2.189999962E1,1.392000008E1,-3.179999924E1
5.580419135E1,2.801999855E1,9.300000191E0,-2.843999863E1
5.605492377E1,3.720000029E0,2.735999870E1,-3.192000008E1
5.630626654E1,1.523999977E1,1.644000053E1,-3.288000107E1
5.655733466E1,2.615999985E1,7.739999771E0,-2.651999855E1
5.680825019E1,6.480000019E0,2.418000031E1,-3.557999802E1
5.705953192E1,7.319999695E0,2.226000023E1,-3.552000046E1
5.731047797E1,2.634000015E1,7.199999809E0,-2.621999931E1
5.756166816E1,1.151999950E1,2.076000023E1,-3.677999878E1
5.781298041E1,1.799999923E-1,3.126000023E1,-3.329999924E1
5.806392646E1,2.297999954E1,8.279999733E0,-2.723999977E1
5.831514716E1,1.067999935E1,1.596000004E1,-3.252000046E1
5.856652045E1,3.599999845E-1,3.311999893E1,-3.605999756E1
5.881728339E1,2.147999954E1,9.300000191E0,-3.209999847E1
5.906847357E1,1.685999870E1,1.109999943E1,-3.042000008E1
5.931996894E1,6.599999666E-1,3.197999954E1,-3.563999939E1
5.957100653E1,1.979999924E1,1.085999966E1,-3.155999947E1
5.982234931E1,2.034000015E1,6.899999619E0,-2.531999969E1
6.007369208E1,6.960000038E0,2.526000023E1,-3.845999908E1
6.032448554E1,2.021999931E1,1.284000015E1,-3.468000031E1
6.057585883E1,2.543999863E1,5.940000057E0,-2.597999954E1
6.082720160E1,5.879999638E0,2.243999863E1,-3.371999741E1
6.107830024E1,6.779999733E0,2.160000038E1,-3.450000000E1
6.132952094E1,2.052000046E1,8.939999580E0,-2.705999947E1
6.158061957E1,6.719999790E0,2.519999886E1,-3.647999954E1
6.183174872E1,5.999999642E-1,3.552000046E1,-3.552000046E1
6.208306098E1,1.721999931E1,1.026000023E1,-3.119999886E1
6.233437323E1,8.460000038E0,1.926000023E1,-3.677999878E1
6.258525824E1,-1.500000000E0,3.047999954E1,-3.443999863E1
6.283644843E1,2.273999977E1,1.092000008E1,-3.593999863E1
6.308748603E1,1.355999947E1,1.284000015E1,-3.431999969E1
6.333873725E1,1.199999928E0,3.455999756E1,-3.941999817E1
6.358974433E1,2.171999931E1,1.475999928E1,-4.104000092E1
6.384072089E1,8.880000114E0,1.446000004E1,-3.005999947E1
6.409188056E1,1.319999933E0,3.473999786E1,-4.013999939E1
6.434300971E1,1.434000015E1,1.860000038E1,-4.091999817E1
6.459404730E1,2.429999924E1,1.092000008E1,-3.450000000E1
6.484542060E1,7.559999943E0,2.897999954E1,-4.343999863E1
6.509719062E1,1.607999992E1,2.651999855E1,-4.757999802E1
6.534853339E1,2.555999947E1,1.781999969E1,-4.247999954E1
6.559993720E1,1.163999939E1,3.042000008E1,-4.487999725E1
6.585173774E1,8.399999619E0,3.738000107E1,-4.620000076E1
6.610292792E1,1.800000000E1,1.937999916E1,-4.068000031E1
6.635417914E1,1.235999966E1,2.676000023E1,-4.200000000E1
6.660564398E1,-3.000000000E0,3.731999969E1,-3.215999985E1
6.685704970E1,1.781999969E1,1.457999992E1,-3.371999741E1
6.710875868E1,1.350000000E1,1.421999931E1,-3.000000000E1
6.736010145E1,-5.999999642E-1,3.804000092E1,-3.461999893E1
6.761147474E1,1.277999973E1,1.829999924E1,-3.389999771E1
6.786339735E1,1.289999962E1,1.451999950E1,-2.621999931E1
6.811412977E1,2.279999971E0,3.677999878E1,-3.677999878E1
6.836489271E1,1.109999943E1,2.015999985E1,-3.629999924E1
6.861605238E1,1.889999962E1,1.121999931E1,-2.742000008E1
6.886840224E1,6.539999962E0,3.107999992E1,-3.918000031E1
6.911986708E1,7.139999866E0,2.663999939E1,-3.702000046E1
6.937102675E1,1.457999992E1,1.373999977E1,-2.861999893E1
6.962270521E1,6.359999657E0,2.735999870E1,-3.636000061E1
6.987374281E1,2.939999819E0,3.671999741E1,-3.881999969E1
7.012563490E1,2.460000038E1,1.571999931E1,-3.815999985E1
7.037648939E1,1.752000046E1,1.811999893E1,-3.684000015E1
7.062841200E1,3.059999943E0,3.155999947E1,-3.359999847E1
7.087954115E1,2.093999863E1,1.403999996E1,-3.155999947E1
7.113118910E1,1.481999969E1,1.692000008E1,-3.095999908E1
7.138244032E1,1.620000005E0,3.720000076E1,-3.570000076E1
7.163396620E1,1.583999920E1,1.835999870E1,-3.588000107E1
7.188689589E1,1.019999981E1,1.721999931E1,-2.771999931E1
7.213854384E1,2.039999962E0,3.954000092E1,-3.887999725E1
7.239104628E1,1.085999966E1,2.207999992E1,-3.761999893E1
7.264266371E1,1.818000031E1,1.085999966E1,-2.585999870E1
7.289379286E1,9.000000000E0,2.405999947E1,-3.671999741E1
7.314660048E1,7.379999638E0,2.489999962E1,-3.713999939E1
7.339739393E1,1.811999893E1,1.146000004E1,-2.868000031E1
7.364849257E1,1.157999992E1,2.129999924E1,-3.647999954E1
7.390154432E1,3.000000000E0,3.365999985E1,-3.689999771E1
7.415307020E1,2.243999863E1,1.319999981E1,-3.143999863E1
7.440456556E1,2.292000008E1,1.673999977E1,-3.455999756E1
7.465587782E1,9.659999847E0,3.504000092E1,-4.091999817E1
7.490853285E1,2.621999931E1,2.219999886E1,-3.941999817E1
7.516018080E1,2.123999977E1,1.979999924E1,-3.402000046E1
7.541161513E1,5.879999638E0,3.815999985E1,-3.707999802E1
7.566311049E1,1.559999943E1,2.171999931E1,-3.707999802E1
7.591451430E1,2.045999908E1,1.139999962E1,-2.393999863E1
7.616579603E1,7.799999714E0,3.017999840E1,-3.702000046E1
7.641741347E1,9.420000076E0,2.477999878E1,-3.473999786E1
7.666887831E1,2.507999992E1,1.163999939E1,-2.759999847E1
7.692016005E1,1.596000004E1,2.351999855E1,-3.959999847E1
7.717150282E1,7.980000019E0,3.839999771E1,-4.307999802E1
7.742449354E1,1.992000008E1,1.968000031E1,-4.013999939E1
7.767550062E1,8.699999809E0,2.573999977E1,-3.977999878E1
7.792727064E1,-1.620000005E0,4.013999939E1,-3.504000092E1
7.817833876E1,1.331999969E1,1.427999973E1,-2.771999931E1
7.843020033E1,1.157999992E1,1.721999931E1,-2.303999901E1
7.868187880E1,4.019999981E0,3.173999977E1,-3.017999840E1
7.893319105E1,2.184000015E1,1.673999977E1,-3.431999969E1
7.918462538E1,1.655999947E1,1.457999992E1,-2.735999870E1
7.943609022E1,6.539999962E0,3.305999756E1,-3.839999771E1
7.968837904E1,1.565999985E1,2.334000015E1,-4.031999969E1
7.993984388E1,2.202000046E1,1.055999947E1,-3.131999969E1
8.019100355E1,1.115999985E1,2.363999939E1,-4.265999985E1
8.044286513E1,6.779999733E0,2.597999954E1,-3.989999771E1
8.069411635E1,1.968000031E1,9.179999352E0,-3.143999863E1
8.094689345E1,5.279999733E0,2.177999878E1,-3.497999954E1
8.119774794E1,-3.419999838E0,4.050000000E1,-3.504000092E1
8.144857191E1,1.607999992E1,1.301999950E1,-3.354000092E1
8.170055556E1,1.181999969E1,1.242000008E1,-2.669999886E1
8.195141005E1,-4.980000019E0,3.323999786E1,-2.531999969E1
8.220440077E1,1.338000011E1,1.061999989E1,-2.453999901E1
8.245546888E1,1.055999947E1,1.289999962E1,-1.463999939E1
8.270861220E1,2.819999933E0,2.850000000E1,-2.771999931E1
8.296007704E1,1.710000038E1,1.529999924E1,-3.035999870E1
8.321247963E1,2.405999947E1,9.059999466E0,-2.418000031E1
8.346376137E1,9.359999657E0,2.501999855E1,-3.611999893E1
8.371495156E1,9.359999657E0,2.705999947E1,-3.804000092E1
