"Time (s)","Illuminance (lx)"
1.532936145E2,7.830000000E3
1.535455981E2,2.062100000E4
1.537978259E2,5.700000000E3
1.540498095E2,6.248000000E3
1.543019152E2,1.803800000E4
1.545538684E2,6.884000000E3
1.548060351E2,4.649000000E3
1.550583545E2,2.002100000E4
1.553105822E2,7.968000000E3
1.555627185E2,3.210000000E3
1.558149157E2,1.864500000E4
1.560669604E2,9.343000000E3
1.563191882E2,2.104000000E3
1.565714770E2,7.023000000E3
1.568237658E2,7.051000000E3
1.570759936E2,1.851000000E3
1.573281298E2,5.034000000E3
1.575802356E2,5.989000000E3
1.578321887E2,2.140000000E3
1.580845080E2,3.360000000E3
1.583365832E2,5.413000000E3
1.585890246E2,2.340000000E3
1.588410998E2,2.437000000E3
1.590934497E2,4.637000000E3
1.593456469E2,3.100000000E3
1.595977832E2,1.737000000E3
1.598499804E2,3.686000000E3
1.601019946E2,3.490000000E3
1.603657580E2,1.558000000E3
1.606178637E2,3.133000000E3
1.608699986E2,3.216000000E3
1.611260411E2,1.510000000E3
1.613780553E2,2.527000000E3
1.616301305E2,2.820000000E3
1.618824803E2,1.644000000E3
1.621584813E2,1.486000000E3
1.627240331E2,5.550000000E2
1.630577123E2,2.911000000E3
1.638754308E2,4.800000000E2
1.641279637E2,2.200000000E1
1.647248265E2,4.700000000E2
1.656282689E2,2.260000000E2
1.661793859E2,7.720000000E2
1.667301671E2,8.060000000E2
1.672803075E2,8.470000000E2
1.678348119E2,6.750000000E2
1.681289403E2,2.942000000E3
1.686592443E2,7.300000000E2
1.689811131E2,2.726000000E3
1.693029210E2,1.878000000E3
1.695970494E2,1.686000000E3
1.698911168E2,1.904000000E3
1.702132604E2,1.562000000E3
1.705353429E2,8.090000000E2
1.708141515E2,9.260000000E2
1.711519811E2,1.110000000E3
1.714463841E2,1.103000000E3
1.717406957E2,1.123000000E3
1.720340611E2,1.090000000E3
1.724263036E2,1.044000000E3
1.728181493E2,1.062000000E3
1.732104833E2,1.067000000E3
1.736028478E2,1.073000000E3
1.739952428E2,1.073000000E3
1.743876988E2,1.123000000E3
1.747099034E2,1.104000000E3
1.752007482E2,1.125000000E3
1.754947545E2,1.217000000E3
1.758873631E2,1.235000000E3
1.761817967E2,1.265000000E3
1.764761083E2,1.337000000E3
1.767701146E2,1.347000000E3
1.770643346E2,1.609000000E3
1.773589208E2,1.999000000E3
1.776809117E2,2.272000000E3
1.779754979E2,2.722000000E3
1.782699925E2,2.871000000E3
1.785642430E2,3.021000000E3
1.790249669E2,8.830000000E2
1.795761144E2,1.017000000E3
1.801631810E2,1.321000000E3
1.807261998E2,1.197000000E3
1.812845799E2,1.211000000E3
1.818436925E2,1.257000000E3
1.824022862E2,1.249000000E3
1.826542089E2,8.080000000E2
1.830900304E2,1.293000000E3
1.836755101E2,1.183000000E3
1.842334630E2,1.217000000E3
1.847911412E2,1.179000000E3
1.850435216E2,7.680000000E2
1.854796483E2,1.299000000E3
1.857313268E2,8.220000000E2
1.861949193E2,1.527000000E3
1.867842443E2,1.249000000E3
1.873740575E2,1.449000000E3
1.879441869E2,1.283000000E3
1.881966283E2,1.580000000E3
1.886954076E2,1.339000000E3
1.892851598E2,1.285000000E3
1.895376622E2,7.030000000E2
1.899975926E2,1.425000000E3
1.905879247E2,1.257000000E3
1.911503331E2,1.223000000E3
1.914027745E2,1.700000000E3
1.919015736E2,1.323000000E3
1.924873585E2,1.191000000E3
1.927389759E2,7.260000000E2
1.931987843E2,1.317000000E3
1.937645192E2,1.258000000E3
1.943266529E2,1.102000000E3
1.948805470E2,9.670000000E2
1.954389576E2,1.179000000E3
1.956911549E2,7.110000000E2
1.961230397E2,1.142000000E3
1.967361988E2,1.168000000E3
1.973225636E2,1.197000000E3
1.979115528E2,1.397000000E3
1.985097279E2,1.279000000E3
1.991358570E2,1.557000000E3
1.997341237E2,1.169000000E3
1.999857411E2,8.620000000E2
2.004214405E2,1.219000000E3
2.006729054E2,7.110000000E2
2.011321623E2,1.283000000E3
2.016910613E2,1.175000000E3
2.022738860E2,1.055000000E3
2.025463774E2,6.220000000E2
2.029547942E2,1.127000000E3
2.035402129E2,1.129000000E3
2.040952666E2,1.009000000E3
2.043671477E2,5.330000000E2
2.048307402E2,9.590000000E2
2.054631865E2,8.520000000E2
2.057158110E2,8.050000000E2
2.061795256E2,1.115000000E3
2.069863799E2,1.031000000E3
2.075719511E2,9.070000000E2
2.081232817E2,7.410000000E2
2.084178374E2,2.463000000E3
2.087120268E2,2.462000000E3
2.090061303E2,2.414000000E3
2.094966698E2,2.456000000E3
2.097911034E2,2.700000000E3
2.101837121E2,2.722000000E3
2.104777184E2,2.758000000E3
2.107719689E2,3.026000000E3
2.112319603E2,7.790000000E2
2.117831994E2,8.710000000E2
2.123342858E2,7.710000000E2
2.128852807E2,9.410000000E2
2.134667626E2,7.370000000E2
2.140167809E2,7.100000000E2
2.145673485E2,8.920000000E2
2.151451684E2,8.370000000E2
2.154173852E2,6.230000000E2
2.158261681E2,7.350000000E2
2.163500023E2,6.470000000E2
2.166718712E2,1.351000000E3
2.169661217E2,1.852000000E3
2.174567833E2,2.249000000E3
2.177553063E2,1.920000000E3
2.180730858E2,1.796000000E3
2.183671532E2,1.513000000E3
2.186614953E2,1.571000000E3
2.189557763E2,1.469000000E3
2.193013878E2,8.450000000E2
2.195996361E2,7.350000000E2
2.198942833E2,1.295000000E3
