"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.035675261E2,3.287238836E0,-5.303156853E0,-1.728613615E0
2.038182280E2,2.977189827E1,2.090856361E1,1.432690334E1
2.040695403E2,3.162740469E0,1.446576691E1,3.050212860E0
2.043218291E2,3.560178041E0,-1.946485996E0,1.154005170E0
2.045734770E2,8.700529099E0,1.462857246E0,-7.046135426E0
2.048246672E2,-3.969586372E0,8.935160637E0,2.992752075E0
2.050765898E2,1.304121685E1,6.100425720E0,1.649604917E0
2.053275053E2,1.349372101E1,-3.713406801E0,6.919242740E-1
2.055792448E2,9.038111687E0,1.301966858E1,6.200982571E0
2.058299162E2,1.193988419E1,1.288080502E1,7.204153061E0
2.060811980E2,3.122039080E0,-8.231265068E0,-1.333570361E0
2.063318083E2,2.444479942E0,9.366117477E0,8.070854187E0
2.065835173E2,8.540117264E0,1.620156288E1,9.708487511E0
2.068351653E2,2.583343744E0,-3.993528366E0,5.961562395E-1
2.070872405E2,1.713290787E1,1.354639339E1,2.104503393E0
2.073382781E2,3.452438831E0,1.112106705E1,1.035252857E1
2.075894988E2,1.455674648E0,-2.794033289E0,4.572925270E-1
2.078407500E2,2.358767509E1,6.636727333E0,1.436521053E1
2.080916655E2,-4.309562966E-2,1.571075153E1,4.137180328E0
2.083431303E2,4.441244125E0,-4.553771496E0,3.634398222E0
2.085942900E2,7.977479935E0,-4.534617901E0,-1.003888798E1
2.088452111E2,-3.921702385E0,6.521805286E0,2.636016130E0
2.090963708E2,2.039141655E1,5.339069843E0,3.648763418E0
2.093473473E2,6.268020153E0,-9.643844604E0,2.473210335E0
2.095987816E2,3.715801001E0,7.824251175E0,3.643975019E0
2.098500634E2,1.909615326E1,1.324232960E1,1.216972733E1
2.101011620E2,8.571242094E-1,-8.621520042E0,-1.446097851E0
2.103522912E2,1.556470490E1,1.380975533E1,-4.556165695E0
2.106031762E2,1.726937675E1,1.857661057E1,5.750872612E0
2.108547631E2,2.317587137E0,-4.079719543E0,-5.099649429E-1
2.111062890E2,2.581428337E1,1.224155331E1,8.920795441E0
2.113567162E2,2.925714493E0,1.424550056E1,3.160346270E0
2.116084557E2,4.912901878E0,-3.502717018E0,1.161187768E0
2.118597374E2,1.531810284E1,5.070919037E0,-4.079719543E0
