"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.232836990E1,-5.326322280E-4,1.065264456E-2,5.858954508E-3
4.257888870E1,-1.065264456E-3,1.065264456E-3,6.924218964E-3
4.282952957E1,-1.278317347E-2,3.728425596E-3,7.456851192E-3
4.308013992E1,1.118527725E-2,-1.384843793E-2,2.663161140E-3
4.333065872E1,4.793690052E-3,-2.982740477E-2,-1.597896684E-3
4.358096389E1,-1.278317347E-2,1.597896591E-2,1.544633508E-2
4.383142166E1,-1.491370238E-2,-7.456851192E-3,0.000000000E0
4.408181839E1,-1.278317347E-2,0.000000000E0,-6.391586736E-3
4.433221511E1,-1.118527725E-2,9.054748341E-3,1.438106969E-2
4.458258132E1,-3.195793368E-3,1.864212751E-2,-5.326322280E-3
4.483285598E1,1.597896684E-3,1.065264456E-2,1.544633508E-2
4.508337478E1,1.331580617E-2,2.130528912E-2,2.663161140E-3
4.533401565E1,2.663161140E-3,6.391586736E-3,-5.326322280E-3
4.558422927E1,6.924218964E-3,-1.384843793E-2,-1.331580617E-2
4.583487014E1,3.195793368E-3,-1.917476021E-2,-1.864212751E-2
4.608538894E1,5.858954508E-3,-5.326322280E-4,3.195793368E-3
4.633587722E1,-7.456851192E-3,-5.326322280E-4,0.000000000E0
4.658639602E1,-3.195793368E-3,-1.597896591E-2,1.384843793E-2
4.683688430E1,-5.858954508E-3,9.587380104E-3,5.858954508E-3
4.708746414E1,-3.728425596E-3,-5.326322280E-4,-8.522115648E-3
4.733795242E1,-2.077265643E-2,-2.343581803E-2,-1.438106969E-2
4.758844070E1,7.989482954E-3,-3.728425596E-3,5.326322280E-3
4.783902053E1,5.858954508E-3,1.065264456E-2,1.810949668E-2
4.808938675E1,-5.326322280E-4,3.195793368E-3,3.728425596E-3
4.833996658E1,-3.728425596E-3,-3.195793368E-3,-3.728425596E-3
4.859030227E1,1.331580617E-2,-4.793690145E-2,-1.970739290E-2
4.884066848E1,1.438106969E-2,-3.728425596E-3,4.261057824E-3
4.909109573E1,-2.556634694E-2,1.331580617E-2,5.858954415E-2
4.934176712E1,0.000000000E0,-2.822950855E-2,-5.592638254E-2
4.959265213E1,2.077265643E-2,-6.924218964E-3,-7.456851192E-3
4.984317092E1,-3.195793368E-3,2.290318534E-2,4.261057824E-3
5.009365921E1,-1.970739290E-2,-2.343581803E-2,1.384843793E-2
5.034423904E1,-7.989482954E-3,-6.924218964E-3,5.858954508E-3
5.059466629E1,-1.118527725E-2,1.012001187E-2,1.065264456E-3
5.084521560E1,-6.391586736E-3,6.391586736E-3,-1.012001187E-2
5.109561233E1,-4.261057824E-3,1.384843793E-2,3.195793368E-3
5.134613113E1,1.065264456E-2,0.000000000E0,-3.195793368E-3
5.159668045E1,6.924218964E-3,7.989482954E-3,-7.989482954E-3
5.184732132E1,1.118527725E-2,-1.597896684E-3,-9.054748341E-3
5.209774856E1,1.225054078E-2,-7.989482954E-3,-6.391586736E-3
5.234808426E1,1.384843793E-2,5.326322280E-3,4.793690052E-3
5.259857254E1,-1.161138266E-1,8.042746782E-2,1.864212751E-2
5.284909134E1,3.728425596E-3,5.326322280E-4,-3.195793368E-3
5.309964065E1,-2.982740477E-2,2.130528912E-3,-3.728425596E-3
5.335028152E1,5.326322280E-4,-2.077265643E-2,-1.810949668E-2
5.360080032E1,6.924218964E-3,-3.675162420E-2,2.663161233E-2
5.385147171E1,1.225054078E-2,1.757686399E-2,1.651159860E-2
5.410208206E1,-8.522115648E-3,2.237055451E-2,6.391586736E-3
5.435269241E1,-1.065264456E-2,-1.065264456E-2,-7.989482954E-3
5.460321121E1,2.556634694E-2,5.326322280E-4,2.663161140E-3
5.485357742E1,1.278317347E-2,1.810949668E-2,1.278317347E-2
5.510394363E1,1.065264456E-3,1.704423130E-2,7.989482954E-3
5.535446243E1,1.597896591E-2,-3.195793368E-3,4.793690052E-3
5.560510330E1,-3.355583176E-2,-4.793690052E-3,-1.491370238E-2
5.585556106E1,-1.597896591E-2,3.195793368E-3,3.195793368E-3
5.610604934E1,7.989482954E-3,3.036003746E-2,9.587380104E-3
5.635653762E1,-1.065264456E-2,3.195793368E-3,7.989482954E-3
5.660705642E1,5.326322280E-4,1.331580617E-2,-9.054748341E-3
5.685757522E1,1.651159860E-2,4.793690052E-3,2.663161140E-3
5.710815506E1,-4.793690052E-3,8.522115648E-3,1.597896591E-2
5.735864334E1,-3.195793368E-3,-4.793690052E-3,6.924218964E-3
5.760916214E1,1.651159860E-2,-2.130528912E-3,-9.054748341E-3
5.785965042E1,-3.728425596E-3,-1.597896684E-3,-1.810949668E-2
5.810998611E1,-2.663161140E-3,1.491370238E-2,6.924218964E-3
5.836053543E1,7.989482954E-3,-7.456851192E-3,-1.278317347E-2
5.861102371E1,2.077265643E-2,-1.757686399E-2,-2.024002373E-2
5.886151199E1,2.663161233E-2,1.597896591E-2,3.728425596E-3
5.911193924E1,1.651159860E-2,-2.663161140E-3,6.391586736E-3
5.936236648E1,5.858954508E-3,-1.331580617E-2,4.793690052E-3
5.961291580E1,-9.054748341E-3,2.663161233E-2,7.456851192E-3
5.986346511E1,-1.225054078E-2,6.924218964E-3,-2.663161140E-3
6.011404495E1,-4.793690052E-3,-3.195793368E-3,-5.858954508E-3
6.036459426E1,4.793690052E-3,3.728425596E-3,5.326322280E-3
6.061505203E1,-4.261057824E-3,-2.130528912E-3,5.326322280E-3
6.086569290E1,-2.130528912E-3,-3.728425503E-2,-7.989482954E-3
6.111608963E1,-1.597896684E-3,1.917476021E-2,1.597896684E-3
6.136663894E1,-1.810949668E-2,6.924218964E-3,6.391586736E-3
6.161721878E1,3.728425596E-3,-1.384843793E-2,3.195793368E-3
6.186776809E1,-2.290318534E-2,-2.663161140E-3,-7.456851192E-3
6.211816482E1,2.716424316E-2,2.130528912E-3,-2.130528912E-3
6.236862259E1,9.054748341E-3,-1.225054078E-2,2.663161140E-3
6.261908035E1,5.858954508E-3,1.118527725E-2,5.326322280E-4
6.286966018E1,-6.391586736E-3,-3.355583176E-2,-8.522115648E-3
6.311999588E1,-3.195793368E-3,1.118527725E-2,3.195793368E-3
6.337057571E1,-1.012001187E-2,2.450108156E-2,2.343581803E-2
6.362106399E1,0.000000000E0,-1.278317347E-2,6.391586736E-3
6.387161331E1,-1.012001187E-2,5.326322280E-4,7.989482954E-3
6.412197952E1,5.326322280E-3,3.941478580E-2,1.970739290E-2
6.437246780E1,-5.326322280E-4,-1.065264456E-3,1.278317347E-2
6.462298660E1,-1.970739290E-2,-6.924218964E-3,1.065264456E-3
6.487359695E1,9.054748341E-3,-2.929477207E-2,-2.290318534E-2
6.512393264E1,-1.012001187E-2,1.384843793E-2,-1.597896684E-3
6.537448196E1,-1.597896684E-3,-2.503371425E-2,7.456851192E-3
6.562500076E1,-1.118527725E-2,-4.793690052E-3,1.225054078E-2
6.587539749E1,-3.195793368E-3,2.876213938E-2,4.527373984E-2
6.612591629E1,3.195793182E-2,2.130528912E-2,-3.036003746E-2
6.637649612E1,-3.089267015E-2,-3.515372798E-2,-2.503371425E-2
6.662698440E1,2.769687586E-2,-5.805691332E-2,-7.137271762E-2
6.687749802E1,1.379517466E-1,5.006742850E-2,7.829693705E-2
6.712807786E1,-2.982740477E-2,1.065264456E-2,-7.776430249E-2
6.737874924E1,-1.448759735E-1,-9.906959534E-2,-1.480717659E-1
6.762935960E1,2.556634694E-2,-1.454086006E-1,-1.065264456E-2
6.787987839E1,-1.091896072E-1,2.732403278E-1,7.291735411E-1
6.813033616E1,-2.359560728E-1,-1.225054078E-2,4.932174385E-1
6.838088547E1,3.632551730E-1,-9.534116834E-2,-3.589941263E-1
6.863131272E1,-1.091896072E-1,-1.257012039E-1,-2.444781959E-1
6.888170945E1,-2.663161233E-2,-5.006742850E-2,2.876213938E-2
6.913210618E1,4.463458061E-1,-1.049285457E-1,-4.367584363E-2
6.938241135E1,2.918824553E-1,5.326322466E-2,-1.171790883E-1
6.963280808E1,-4.633900523E-2,-3.249056637E-2,-5.752427876E-2
6.988347947E1,-1.384843737E-1,-1.267664731E-1,-2.237055451E-2
7.013393723E1,1.065264456E-2,-6.764429063E-2,-6.391586736E-3
7.038445603E1,8.948221803E-2,-2.183792181E-2,-7.403588295E-2
7.063485276E1,-1.027980223E-1,-3.834952042E-2,-2.343581803E-2
7.088537156E1,-1.150485575E-1,2.130528912E-3,3.089267015E-2
7.113579880E1,6.498113275E-2,-6.924218964E-3,-1.161138266E-1
7.138622605E1,1.006674916E-1,1.544633508E-2,1.049285457E-1
7.163665330E1,-1.864212751E-2,-2.077265643E-2,9.054748341E-3
7.188701951E1,-4.687163606E-2,2.290318534E-2,-5.858954508E-3
7.213738572E1,4.793690145E-2,7.829693705E-2,6.924218684E-2
7.238793504E1,2.237055451E-2,-1.597896684E-3,-5.326322280E-3
7.263854539E1,6.924218684E-2,1.810949668E-2,9.693906456E-2
7.288897263E1,3.195793368E-3,-2.183792181E-2,1.917476021E-2
7.313939988E1,2.929477207E-2,-7.989482954E-3,1.917476021E-2
7.338985764E1,5.858954508E-3,1.278317347E-2,3.462109342E-2
7.364031541E1,-1.597896591E-2,-1.597896684E-3,-2.024002373E-2
7.389074265E1,-2.077265643E-2,8.522115648E-3,-4.261057824E-3
7.414126145E1,-1.278317347E-2,1.331580617E-2,2.077265643E-2
7.439174973E1,-1.012001187E-2,-1.810949668E-2,-2.237055451E-2
7.464242112E1,-2.663161140E-3,1.331580617E-2,5.326322280E-4
7.489281785E1,1.118527725E-2,-4.261057824E-3,-8.522115648E-3
7.514333665E1,-2.024002373E-2,-1.331580617E-2,-3.408846259E-2
7.539385544E1,-2.396845073E-2,-1.384843793E-2,-1.597896591E-2
7.564422166E1,-1.810949668E-2,-9.054748341E-3,-2.769687586E-2
7.589498460E1,3.781688958E-2,-1.118527725E-2,2.077265643E-2
7.614522874E1,4.793690052E-3,-2.396845073E-2,-5.326322280E-3
