"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.836005300E2,3.998316824E-1,2.590526342E0,9.445125580E0
1.838510488E2,3.902548850E-1,2.533065319E0,9.394847870E0
1.841015981E2,3.878606856E-1,2.525882721E0,9.229647636E0
1.843521779E2,4.812345505E-1,2.616862535E0,9.318233490E0
1.846026662E2,5.291185975E-1,2.664746523E0,9.109937668E0
1.848531240E2,4.932055473E-1,2.621650934E0,9.191340446E0
1.851036733E2,3.591302633E-1,2.525882721E0,9.306262016E0
1.853543141E2,3.663128614E-1,2.609679937E0,9.270348549E0
1.856049550E2,2.992752194E-1,2.535459518E0,9.284713745E0
1.858555043E2,3.543418646E-1,2.554613113E0,9.260771751E0
1.861059316E2,3.878606856E-1,2.583343744E0,9.196128845E0
1.863566640E2,3.902548850E-1,2.607285738E0,9.318233490E0
1.866071218E2,4.644751251E-1,2.638410330E0,9.313444138E0
1.868576406E2,2.681505978E-1,2.578555346E0,9.279925346E0
1.871080678E2,2.753331959E-1,2.545036316E0,9.361329079E0
1.873588002E2,3.112462163E-1,2.528276920E0,9.287108421E0
1.876094106E2,2.896983922E-1,2.576161146E0,9.320627213E0
1.878600209E2,3.567360640E-1,2.624045134E0,9.332598686E0
1.881106313E2,3.758896589E-1,2.607285738E0,9.255983353E0
1.883612721E2,4.046200812E-1,2.621650934E0,9.272743225E0
1.886116384E2,4.572925270E-1,2.722207308E0,9.014169693E0
1.888621266E2,3.351882398E-1,2.633621931E0,9.112331390E0
1.891126454E2,3.351882398E-1,2.626439333E0,9.277531624E0
1.893631642E2,3.160346150E-1,2.655169725E0,9.174580574E0
1.896136220E2,2.226607651E-1,2.631227732E0,9.253589630E0
1.898641713E2,3.447650373E-1,2.698265314E0,9.248801231E0
1.901145680E2,3.663128614E-1,2.683900118E0,9.301473618E0
1.903651784E2,3.256114423E-1,2.667140722E0,9.203310966E0
1.906157277E2,3.447650373E-1,2.643198729E0,9.303867340E0
1.908663075E2,2.968810201E-1,2.636016130E0,9.299078941E0
1.911169179E2,3.615244627E-1,2.662352324E0,9.217676163E0
1.913673146E2,3.615244627E-1,2.628833532E0,9.272743225E0
1.916176198E2,4.357447028E-1,2.698265314E0,9.117119789E0
1.918679217E2,4.333505034E-1,2.710236311E0,9.021351814E0
1.921183795E2,4.596867263E-1,2.717418909E0,9.246406555E0
1.923688067E2,4.357447028E-1,2.693476915E0,9.105149269E0
1.926194171E2,4.094084799E-1,2.695871115E0,9.210494041E0
1.928700275E2,4.309563041E-1,2.693476915E0,9.162610054E0
1.931204547E2,3.830722570E-1,2.633621931E0,9.346963882E0
1.933710956E2,1.460463107E-1,2.619256735E0,9.150638580E0
1.936216754E2,3.280056417E-1,2.712630510E0,9.229647636E0
1.938723468E2,2.825157940E-1,2.650381327E0,9.258378029E0
1.941227740E2,3.639186621E-1,2.650381327E0,9.368511200E0
1.943733844E2,3.902548850E-1,2.712630510E0,9.208099365E0
1.946238727E2,3.471592367E-1,2.707842112E0,9.279925346E0
1.948744525E2,3.687070608E-1,2.671929121E0,9.160215378E0
1.951251544E2,4.429273009E-1,2.698265314E0,9.220070839E0
1.953756122E2,4.716577232E-1,2.770091295E0,9.244012833E0
1.956261615E2,4.812345505E-1,2.746149302E0,9.129091263E0
1.958765277E2,3.232172430E-1,2.636016130E0,9.502586365E0
1.961269855E2,3.543418646E-1,2.679111719E0,9.241618156E0
1.963774432E2,3.519476354E-1,2.688688517E0,9.301473618E0
1.966279620E2,3.854664862E-1,2.681505919E0,9.275136948E0
1.968785724E2,3.974374831E-1,2.703053713E0,9.057265282E0
1.971290912E2,3.591302633E-1,2.695871115E0,9.258378029E0
1.973794269E2,4.141969085E-1,2.645592928E0,9.390059471E0
