"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.122437368E2,2.153999901E1,2.334000015E1,-4.121999741E1
1.124982534E2,2.087999916E1,2.231999969E1,-4.037999725E1
1.127528311E2,2.063999939E1,2.351999855E1,-4.115999985E1
1.130072866E2,2.135999870E1,2.321999931E1,-4.104000092E1
1.132619253E2,2.087999916E1,2.303999901E1,-4.193999863E1
1.135163504E2,2.093999863E1,2.376000023E1,-4.127999878E1
1.137708364E2,2.081999969E1,2.297999954E1,-4.205999756E1
1.140253530E2,2.039999962E1,2.213999939E1,-4.134000015E1
1.142799612E2,2.069999886E1,2.292000008E1,-4.163999939E1
1.145343862E2,2.081999969E1,2.345999908E1,-4.170000076E1
1.147887808E2,2.076000023E1,2.387999916E1,-4.265999985E1
1.150433279E2,2.087999916E1,2.339999962E1,-4.254000092E1
1.152977835E2,2.076000023E1,2.310000038E1,-4.157999802E1
1.155523916E2,2.147999954E1,2.376000023E1,-4.241999817E1
1.158069387E2,2.123999977E1,2.321999931E1,-4.200000000E1
1.160613027E2,2.135999870E1,2.268000031E1,-4.229999924E1
1.163157583E2,2.076000023E1,2.339999962E1,-4.241999817E1
1.165701528E2,2.118000031E1,2.327999878E1,-4.104000092E1
1.168246084E2,2.057999992E1,2.315999985E1,-4.163999939E1
1.170790640E2,2.105999947E1,2.411999893E1,-4.236000061E1
1.173333670E2,2.034000015E1,2.411999893E1,-4.187999725E1
1.175878530E2,2.111999893E1,2.297999954E1,-4.121999741E1
1.178422781E2,2.105999947E1,2.351999855E1,-4.139999771E1
1.180969168E2,2.123999977E1,2.315999985E1,-4.134000015E1
1.183514334E2,2.100000000E1,2.345999908E1,-4.115999985E1
1.186057669E2,2.111999893E1,2.327999878E1,-4.139999771E1
1.188601614E2,2.100000000E1,2.303999901E1,-4.200000000E1
1.191145254E2,2.069999886E1,2.273999977E1,-4.307999802E1
1.193691641E2,2.184000015E1,2.279999924E1,-4.157999802E1
1.196238027E2,2.129999924E1,2.285999870E1,-4.139999771E1
1.198782888E2,2.034000015E1,2.255999947E1,-4.152000046E1
1.201329275E2,2.202000046E1,2.315999985E1,-4.229999924E1
1.203875051E2,2.177999878E1,2.351999855E1,-4.259999847E1
1.206417776E2,2.135999870E1,2.303999901E1,-4.181999969E1
1.208962637E2,2.135999870E1,2.321999931E1,-4.236000061E1
1.211506277E2,2.129999924E1,2.279999924E1,-4.218000031E1
1.214050222E2,2.160000038E1,2.231999969E1,-4.175999832E1
1.216596914E2,2.135999870E1,2.292000008E1,-4.134000015E1
1.219142691E2,2.160000038E1,2.297999954E1,-4.265999985E1
1.221687551E2,2.093999863E1,2.334000015E1,-4.223999786E1
1.224232412E2,2.081999969E1,2.351999855E1,-4.254000092E1
1.226778494E2,2.123999977E1,2.351999855E1,-4.187999725E1
1.229322744E2,2.093999863E1,2.292000008E1,-4.193999863E1
1.231866079E2,2.087999916E1,2.303999901E1,-4.200000000E1
1.234410635E2,2.129999924E1,2.357999992E1,-4.193999863E1
1.236956106E2,2.081999969E1,2.321999931E1,-4.241999817E1
1.239500662E2,2.052000046E1,2.310000038E1,-4.115999985E1
1.242046438E2,2.027999878E1,2.411999893E1,-4.109999847E1
1.244590689E2,2.034000015E1,2.231999969E1,-4.170000076E1
