"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.223603854E2,2.129999924E1,3.227999878E1,-5.921999741E1
1.226115451E2,2.171999931E1,3.161999893E1,-6.000000000E1
1.228627048E2,2.207999992E1,3.150000000E1,-5.969999695E1
1.231140475E2,2.202000046E1,3.113999939E1,-5.945999908E1
1.233653293E2,2.165999985E1,3.131999969E1,-5.915999985E1
1.236165195E2,2.081999969E1,3.204000092E1,-6.011999893E1
1.238676791E2,2.153999901E1,3.192000008E1,-5.981999969E1
1.241188083E2,2.165999985E1,3.293999863E1,-5.927999878E1
1.243699679E2,2.184000015E1,3.107999992E1,-6.005999756E1
1.246212497E2,2.153999901E1,3.161999893E1,-5.952000046E1
1.248725314E2,2.111999893E1,3.119999886E1,-6.005999756E1
1.251236911E2,2.219999886E1,3.173999977E1,-5.945999908E1
1.253747592E2,2.118000031E1,3.119999886E1,-6.059999847E1
1.256257052E2,2.153999901E1,3.167999840E1,-6.029999924E1
1.258768649E2,2.184000015E1,3.155999947E1,-5.987999725E1
1.261280246E2,2.177999878E1,3.155999947E1,-6.029999924E1
1.263792758E2,2.189999962E1,3.192000008E1,-6.065999985E1
1.266303134E2,2.195999908E1,3.209999847E1,-5.957999802E1
1.268816257E2,2.160000038E1,3.227999878E1,-5.952000046E1
1.271327853E2,2.195999908E1,3.215999985E1,-6.077999878E1
1.273838840E2,2.207999992E1,3.252000046E1,-6.059999847E1
1.276349826E2,2.093999863E1,3.192000008E1,-6.041999817E1
1.278859286E2,2.160000038E1,3.252000046E1,-6.018000031E1
1.281372104E2,2.165999985E1,3.167999840E1,-5.981999969E1
1.283882175E2,2.135999870E1,3.192000008E1,-6.018000031E1
1.286392551E2,2.147999954E1,3.167999840E1,-6.023999786E1
1.288905063E2,2.171999931E1,3.215999985E1,-5.921999741E1
1.291416659E2,2.111999893E1,3.239999771E1,-5.957999802E1
1.293928866E2,2.171999931E1,3.179999924E1,-5.993999863E1
1.296441684E2,2.153999901E1,3.155999947E1,-6.053999710E1
1.298954196E2,2.202000046E1,3.161999893E1,-6.059999847E1
1.301467319E2,2.105999947E1,3.204000092E1,-5.993999863E1
1.303981357E2,2.231999969E1,3.173999977E1,-6.018000031E1
1.306493259E2,2.231999969E1,3.192000008E1,-5.969999695E1
1.309006076E2,2.147999954E1,3.192000008E1,-5.934000015E1
1.311516147E2,2.129999924E1,3.131999969E1,-5.987999725E1
1.314028659E2,2.165999985E1,3.131999969E1,-6.011999893E1
1.316539340E2,2.147999954E1,3.137999916E1,-5.957999802E1
