"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.047615390E2,-1.597896684E-3,-5.326322280E-4,0.000000000E0
1.050126987E2,0.000000000E0,1.065264456E-3,5.326322280E-4
1.052637668E2,1.065264456E-3,-1.065264456E-3,-2.130528912E-3
1.055149570E2,-5.326322280E-4,1.597896684E-3,2.130528912E-3
1.057662082E2,2.663161140E-3,1.065264456E-3,-2.130528912E-3
1.060175815E2,-2.663161140E-3,-1.065264456E-3,-1.597896684E-3
1.062687411E2,5.326322280E-4,1.065264456E-3,5.326322280E-4
1.065200839E2,0.000000000E0,-5.326322280E-4,1.065264456E-3
1.067714572E2,1.065264456E-3,-5.326322280E-4,5.326322280E-4
1.070227695E2,1.065264456E-3,-1.065264456E-3,5.326322280E-4
1.072739596E2,2.663161140E-3,0.000000000E0,-5.326322280E-4
1.075248447E2,-2.130528912E-3,-1.065264456E-3,0.000000000E0
1.077760348E2,2.130528912E-3,5.326322280E-4,2.130528912E-3
1.080271945E2,-5.326322280E-4,-5.326322280E-4,1.597896684E-3
1.082783237E2,1.065264456E-3,5.326322280E-4,0.000000000E0
1.085295749E2,-1.065264456E-3,-2.130528912E-3,-5.326322280E-4
1.087807956E2,0.000000000E0,-5.326322280E-4,1.065264456E-3
1.090319552E2,1.065264456E-3,5.326322280E-4,1.597896684E-3
1.092832675E2,5.326322280E-4,2.663161140E-3,0.000000000E0
1.095342746E2,1.065264456E-3,5.326322280E-4,1.065264456E-3
1.097851901E2,5.326322280E-4,-1.065264456E-3,0.000000000E0
1.100363498E2,-2.130528912E-3,-5.326322280E-4,1.597896684E-3
1.102876010E2,-1.065264456E-3,1.065264456E-3,-1.065264456E-3
1.105386996E2,-1.065264456E-3,-2.130528912E-3,-5.326322280E-4
1.107898898E2,1.065264456E-3,5.326322280E-4,-1.597896684E-3
1.110410800E2,1.065264456E-3,2.663161140E-3,5.326322280E-4
1.112921481E2,5.326322280E-4,-1.065264456E-3,-2.663161140E-3
1.115432773E2,-5.326322280E-4,1.065264456E-3,-1.597896684E-3
1.117944675E2,-5.326322280E-4,0.000000000E0,-1.597896684E-3
1.120456882E2,-1.065264456E-3,0.000000000E0,-1.597896684E-3
1.122970004E2,0.000000000E0,0.000000000E0,-5.326322280E-4
1.125481906E2,5.326322280E-4,5.326322280E-4,-1.065264456E-3
1.127993503E2,-5.326322280E-4,1.065264456E-3,-2.663161140E-3
1.130503573E2,-2.130528912E-3,0.000000000E0,5.326322280E-4
1.133016086E2,-1.065264456E-3,0.000000000E0,-1.597896684E-3
1.135526156E2,1.065264456E-3,5.326322280E-4,-1.065264456E-3
1.138038669E2,1.065264456E-3,2.663161140E-3,1.065264456E-3
1.140551486E2,0.000000000E0,-5.326322280E-4,5.326322280E-4
1.143063388E2,1.065264456E-3,-5.326322280E-4,-5.326322280E-4
1.145575900E2,-5.326322280E-4,-1.065264456E-3,5.326322280E-4
1.148086886E2,0.000000000E0,0.000000000E0,-5.326322280E-4
1.150598483E2,5.326322280E-4,2.130528912E-3,1.597896684E-3
1.153109164E2,-2.130528912E-3,0.000000000E0,2.663161140E-3
1.155622287E2,0.000000000E0,1.597896684E-3,1.597896684E-3
1.158133578E2,-5.326322280E-4,0.000000000E0,-1.597896684E-3
1.160646701E2,-1.597896684E-3,-5.326322280E-4,-1.065264456E-3
1.163157992E2,-1.065264456E-3,5.326322280E-4,-5.326322280E-4
1.165669589E2,-1.597896684E-3,5.326322280E-4,0.000000000E0
1.168182712E2,-5.326322280E-4,-5.326322280E-4,1.597896684E-3
1.170695224E2,-2.663161140E-3,1.597896684E-3,-1.597896684E-3
1.173206515E2,-1.597896684E-3,0.000000000E0,1.065264456E-3
1.175719333E2,1.065264456E-3,0.000000000E0,0.000000000E0
1.178231235E2,-1.597896684E-3,-1.065264456E-3,1.065264456E-3
1.180742221E2,5.326322280E-4,5.326322280E-4,2.130528912E-3
1.183254123E2,1.065264456E-3,1.597896684E-3,-2.130528912E-3
1.185765414E2,1.065264456E-3,0.000000000E0,-5.326322280E-4
1.188275790E2,2.130528912E-3,1.065264456E-3,1.597896684E-3
1.190788302E2,-1.065264456E-3,-1.597896684E-3,-2.130528912E-3
1.193300815E2,5.326322280E-4,0.000000000E0,1.065264456E-3
1.195812411E2,0.000000000E0,-5.326322280E-4,-1.065264456E-3
1.198324924E2,0.000000000E0,0.000000000E0,1.065264456E-3
1.200835605E2,-2.663161140E-3,5.326322280E-4,2.130528912E-3
1.203346591E2,5.326322280E-4,1.065264456E-3,-1.065264456E-3
1.205858493E2,-5.326322280E-4,0.000000000E0,-2.663161140E-3
1.208371615E2,-1.597896684E-3,-2.130528912E-3,-3.195793368E-3
1.210884433E2,-1.065264456E-3,-1.065264456E-3,0.000000000E0
1.213397861E2,0.000000000E0,0.000000000E0,1.597896684E-3
1.215910678E2,5.326322280E-4,5.326322280E-4,1.065264456E-3
1.218422885E2,-1.597896684E-3,-5.326322280E-4,-2.130528912E-3
1.220934787E2,-2.663161140E-3,0.000000000E0,0.000000000E0
1.223446994E2,-2.130528912E-3,1.065264456E-3,1.065264456E-3
1.225958285E2,-5.326322280E-4,1.597896684E-3,1.065264456E-3
1.228470187E2,-5.326322280E-4,-5.326322280E-4,-2.130528912E-3
1.230982699E2,-1.065264456E-3,5.326322280E-4,-1.597896684E-3
1.233495822E2,-2.663161140E-3,1.597896684E-3,-2.130528912E-3
1.236007724E2,-1.597896684E-3,1.597896684E-3,3.195793368E-3
1.238519321E2,-5.326322280E-4,1.065264456E-3,0.000000000E0
1.241030917E2,-5.326322280E-4,0.000000000E0,1.597896684E-3
1.243541598E2,1.065264456E-3,5.326322280E-4,1.065264456E-3
1.246055331E2,-1.065264456E-3,1.597896684E-3,-2.130528912E-3
1.248567844E2,-5.326322280E-4,-1.065264456E-3,-1.065264456E-3
1.251080661E2,-1.597896684E-3,0.000000000E0,2.130528912E-3
1.253589816E2,-2.130528912E-3,-1.065264456E-3,1.597896684E-3
1.256099582E2,-1.065264456E-3,1.597896684E-3,1.597896684E-3
1.258611484E2,0.000000000E0,0.000000000E0,-2.663161140E-3
1.261123080E2,-1.065264456E-3,1.065264456E-3,-1.065264456E-3
1.263634982E2,2.130528912E-3,3.728425596E-3,1.065264456E-3
1.266145053E2,5.326322280E-4,0.000000000E0,1.065264456E-3
1.268659091E2,-2.130528912E-3,1.597896684E-3,0.000000000E0
1.271170383E2,0.000000000E0,2.130528912E-3,1.597896684E-3
1.273681369E2,-1.065264456E-3,-5.326322280E-4,0.000000000E0
1.276192660E2,-1.065264456E-3,1.065264456E-3,5.326322280E-4
1.278702121E2,-5.326322280E-4,2.130528912E-3,2.663161140E-3
1.281213718E2,-5.326322280E-4,1.065264456E-3,5.326322280E-4
1.283725314E2,5.326322280E-4,1.597896684E-3,3.195793368E-3
1.286235690E2,-1.065264456E-3,2.663161140E-3,2.663161140E-3
1.288747897E2,1.065264456E-3,-1.065264456E-3,-1.597896684E-3
1.291259494E2,-1.065264456E-3,-1.065264456E-3,2.130528912E-3
1.293772006E2,-1.597896684E-3,-1.597896684E-3,-1.065264456E-3
1.296284518E2,-1.065264456E-3,1.065264456E-3,2.130528912E-3
1.298796725E2,1.065264456E-3,1.065264456E-3,-2.130528912E-3
1.301309543E2,1.065264456E-3,2.130528912E-3,-2.130528912E-3
1.303823886E2,1.597896684E-3,5.326322280E-4,5.326322280E-4
1.306335788E2,-2.130528912E-3,1.065264456E-3,-4.261057824E-3
1.308848910E2,5.326322280E-4,1.065264456E-3,0.000000000E0
1.311358981E2,5.326322280E-4,0.000000000E0,-3.195793368E-3
1.313871799E2,0.000000000E0,-1.597896684E-3,-5.326322280E-4
1.316382785E2,5.326322280E-4,1.597896684E-3,-2.663161140E-3
1.318892856E2,-1.597896684E-3,5.326322280E-4,0.000000000E0
1.321404147E2,0.000000000E0,0.000000000E0,-1.065264456E-3
1.323916354E2,1.065264456E-3,0.000000000E0,2.130528912E-3
1.326429782E2,0.000000000E0,1.597896684E-3,1.065264456E-3
1.328938359E2,-1.065264456E-3,1.065264456E-3,-2.130528912E-3
1.331450871E2,-3.195793368E-3,2.130528912E-3,-1.597896684E-3
1.333962162E2,-1.065264456E-3,1.065264456E-3,-3.195793368E-3
1.336472233E2,-2.130528912E-3,-1.597896684E-3,-1.597896684E-3
1.338984440E2,1.597896684E-3,1.065264456E-3,-5.326322280E-4
1.341495121E2,5.326322280E-4,-2.130528912E-3,-1.065264456E-3
1.344006108E2,0.000000000E0,1.065264456E-3,-1.065264456E-3
1.346521061E2,-5.326322280E-4,-1.597896684E-3,-2.130528912E-3
1.349032658E2,5.326322280E-4,1.597896684E-3,2.130528912E-3
1.351543949E2,-3.728425596E-3,1.065264456E-3,-1.065264456E-3
1.354055546E2,0.000000000E0,-5.326322280E-4,-2.130528912E-3
1.356567143E2,2.663161140E-3,-4.261057824E-3,-2.130528912E-3
1.359080265E2,1.065264456E-3,1.065264456E-3,3.195793368E-3
1.361592167E2,5.326322280E-4,2.130528912E-3,1.065264456E-3
1.364103764E2,-1.597896684E-3,-5.326322280E-4,-1.597896684E-3
1.366616886E2,-5.326322280E-4,-1.065264456E-3,-1.597896684E-3
1.369130314E2,5.326322280E-4,-5.326322280E-4,-1.065264456E-3
1.371640995E2,-1.597896684E-3,-1.597896684E-3,-1.597896684E-3
1.374152897E2,-2.130528912E-3,-2.130528912E-3,0.000000000E0
1.376663273E2,1.065264456E-3,1.065264456E-3,0.000000000E0
1.379174565E2,0.000000000E0,-5.326322280E-4,0.000000000E0
1.381687382E2,-5.326322280E-4,-5.326322280E-4,1.597896684E-3
1.384199284E2,1.065264456E-3,5.326322280E-4,5.326322280E-3
1.386709660E2,-5.326322280E-4,5.326322280E-4,-5.326322280E-4
1.389221562E2,-5.326322280E-4,5.326322280E-4,5.326322280E-4
1.391734074E2,5.326322280E-4,1.597896684E-3,-2.130528912E-3
1.394245365E2,-1.065264456E-3,5.326322280E-4,5.326322280E-4
1.396758183E2,-1.065264456E-3,-1.597896684E-3,0.000000000E0
1.399269779E2,-1.065264456E-3,1.065264456E-3,-1.597896684E-3
1.401781071E2,1.597896684E-3,1.597896684E-3,-2.130528912E-3
1.404292057E2,-3.728425596E-3,-1.065264456E-3,2.663161140E-3
1.406806095E2,-5.326322280E-4,1.597896684E-3,1.065264456E-3
1.409316776E2,1.597896684E-3,-1.065264456E-3,-5.326322280E-4
1.411830815E2,5.326322280E-4,-5.326322280E-4,-5.326322280E-4
1.414342106E2,-1.065264456E-3,-1.065264456E-3,-3.195793368E-3
1.416854618E2,0.000000000E0,2.130528912E-3,1.065264456E-3
1.419365605E2,-1.065264456E-3,0.000000000E0,-3.728425596E-3
1.421875981E2,5.326322280E-4,5.326322280E-4,-2.130528912E-3
1.424387882E2,-3.195793368E-3,-5.326322280E-4,-1.065264456E-3
1.426901921E2,1.597896684E-3,-1.065264456E-3,-2.663161140E-3
1.429413822E2,2.663161140E-3,5.326322280E-4,2.130528912E-3
1.431925114E2,-1.597896684E-3,-5.326322280E-4,-5.326322280E-4
1.434435795E2,0.000000000E0,0.000000000E0,1.065264456E-3
1.436949833E2,0.000000000E0,1.597896684E-3,1.597896684E-3
1.439459904E2,5.326322280E-4,0.000000000E0,-2.130528912E-3
1.441972416E2,5.326322280E-4,1.597896684E-3,-1.065264456E-3
1.444483097E2,0.000000000E0,-1.597896684E-3,0.000000000E0
1.446993778E2,0.000000000E0,-5.326322280E-4,-1.597896684E-3
1.449505680E2,-5.326322280E-4,1.065264456E-3,5.326322280E-4
1.452017277E2,1.065264456E-3,0.000000000E0,-5.326322280E-4
1.454527958E2,-1.065264456E-3,0.000000000E0,2.663161140E-3
1.457041691E2,1.065264456E-3,5.326322280E-4,-1.065264456E-3
1.459552372E2,0.000000000E0,-1.597896684E-3,-1.065264456E-3
1.462064884E2,5.326322280E-4,-1.597896684E-3,-5.326322280E-4
1.464576786E2,5.326322280E-4,5.326322280E-4,-1.065264456E-3
1.467088993E2,-1.597896684E-3,3.195793368E-3,-1.597896684E-3
1.469600895E2,0.000000000E0,-5.326322280E-4,-1.065264456E-3
1.472111576E2,-2.663161140E-3,5.326322280E-4,-1.065264456E-3
1.474622257E2,0.000000000E0,1.597896684E-3,0.000000000E0
1.477133854E2,1.597896684E-3,5.326322280E-4,-5.326322280E-4
1.479645756E2,-1.065264456E-3,-5.326322280E-4,0.000000000E0
1.482156437E2,1.597896684E-3,-1.065264456E-3,-5.326322280E-4
1.484668339E2,5.326322280E-4,1.065264456E-3,-5.326322280E-4
1.487179630E2,5.326322280E-4,-5.326322280E-4,5.326322280E-4
1.489691227E2,5.326322280E-4,5.326322280E-4,0.000000000E0
1.492200382E2,5.326322280E-4,-5.326322280E-4,5.326322280E-4
1.494711369E2,1.065264456E-3,-1.065264456E-3,-5.326322280E-4
1.497222965E2,-1.597896684E-3,1.065264456E-3,-1.065264456E-3
1.499735783E2,0.000000000E0,-1.065264456E-3,-5.326322280E-4
1.502247380E2,-1.065264456E-3,0.000000000E0,-5.326322280E-4
1.504757450E2,-1.597896684E-3,1.597896684E-3,2.663161140E-3
1.507269963E2,0.000000000E0,5.326322280E-4,-2.130528912E-3
1.509782780E2,-1.597896684E-3,-5.326322280E-4,-5.326322280E-4
1.512295597E2,0.000000000E0,-5.326322280E-4,1.065264456E-3
1.514807499E2,-5.326322280E-4,0.000000000E0,-5.326322280E-4
1.517319401E2,-3.728425596E-3,-5.326322280E-4,5.326322280E-4
1.519830693E2,-1.065264456E-3,1.065264456E-3,-1.065264456E-3
1.522342289E2,-5.326322280E-4,-1.065264456E-3,-5.326322280E-4
1.524853581E2,2.130528912E-3,2.130528912E-3,-1.597896684E-3
1.527366093E2,-2.130528912E-3,0.000000000E0,-2.130528912E-3
1.529878605E2,-1.065264456E-3,5.326322280E-4,-5.326322280E-4
1.532391117E2,-5.326322280E-4,0.000000000E0,-3.195793368E-3
1.534904545E2,5.326322280E-4,-1.597896684E-3,0.000000000E0
1.537416752E2,-5.326322280E-4,0.000000000E0,2.130528912E-3
1.539926518E2,1.065264456E-3,-5.326322280E-4,-1.065264456E-3
1.542437504E2,5.326322280E-4,0.000000000E0,1.597896684E-3
1.544947270E2,-1.065264456E-3,5.326322280E-4,-1.065264456E-3
1.547460392E2,-1.065264456E-3,5.326322280E-4,-1.065264456E-3
1.549971684E2,-3.728425596E-3,-5.326322280E-4,5.326322280E-4
1.552482365E2,0.000000000E0,-1.065264456E-3,-2.130528912E-3
1.554996098E2,0.000000000E0,1.065264456E-3,5.326322280E-4
1.557504948E2,-1.065264456E-3,-1.597896684E-3,-5.326322280E-4
1.560016850E2,-5.326322280E-4,1.597896684E-3,-5.326322280E-4
1.562528752E2,5.326322280E-4,5.326322280E-4,-2.130528912E-3
1.565040959E2,-1.065264456E-3,5.326322280E-4,-5.326322280E-4
1.567553471E2,-1.065264456E-3,-5.326322280E-4,0.000000000E0
1.570065983E2,0.000000000E0,3.195793368E-3,2.663161140E-3
1.572577275E2,5.326322280E-4,5.326322280E-4,0.000000000E0
1.575088566E2,-1.597896684E-3,-1.597896684E-3,-1.065264456E-3
1.577600468E2,-5.326322280E-4,1.597896684E-3,5.326322280E-4
1.580110234E2,5.326322280E-4,2.130528912E-3,-5.326322280E-4
1.582621525E2,5.326322280E-4,-5.326322280E-4,-2.130528912E-3
1.585132206E2,-5.326322280E-4,-2.130528912E-3,0.000000000E0
1.587642582E2,-1.065264456E-3,-5.326322280E-4,-2.130528912E-3
1.590154789E2,-2.130528912E-3,0.000000000E0,1.065264456E-3
1.592665470E2,-1.597896684E-3,-5.326322280E-4,1.065264456E-3
1.595177067E2,-1.597896684E-3,5.326322280E-4,-3.195793368E-3
1.597688969E2,-1.597896684E-3,0.000000000E0,-3.195793368E-3
1.600200871E2,-1.597896684E-3,1.065264456E-3,-2.130528912E-3
1.602713688E2,0.000000000E0,-5.326322280E-4,0.000000000E0
1.605225590E2,0.000000000E0,-1.065264456E-3,-2.663161140E-3
1.607738407E2,0.000000000E0,-1.065264456E-3,-2.130528912E-3
1.610249394E2,-5.326322280E-4,2.663161140E-3,2.130528912E-3
