"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.155288608E1,2.394201607E-2,-1.101332754E-1,9.607931137E0
6.180389316E1,2.873042040E-2,-1.053448766E-1,9.598354340E0
6.205505283E1,3.351882473E-2,-1.101332754E-1,9.605537415E0
6.230642612E1,1.675941236E-2,-1.173158810E-1,9.612719536E0
6.255755527E1,3.112462163E-2,-1.125274822E-1,9.612719536E0
6.280868442E1,3.591302410E-2,-9.816227108E-2,9.607931137E0
6.305975254E1,9.576806799E-3,-1.101332754E-1,9.610325813E0
6.331124790E1,9.576806799E-3,-1.053448766E-1,9.610325813E0
6.356240757E1,3.112462163E-2,-1.125274822E-1,9.603142738E0
6.381347568E1,2.154781483E-2,-1.029506698E-1,9.610325813E0
6.406469639E1,2.394201607E-2,-1.149216816E-1,9.612719536E0
6.431588657E1,2.394201607E-2,-1.101332754E-1,9.600749016E0
6.456698521E1,2.394201607E-2,-1.029506698E-1,9.612719536E0
6.481838901E1,2.394201607E-2,-1.149216816E-1,9.610325813E0
6.506979282E1,1.915361360E-2,-1.125274822E-1,9.607931137E0
6.532098301E1,2.633621916E-2,-1.149216816E-1,9.607931137E0
6.557214268E1,1.436521020E-2,-1.125274822E-1,9.600749016E0
6.582330234E1,1.436521020E-2,-1.029506698E-1,9.593565941E0
6.607437046E1,2.633621916E-2,-1.125274822E-1,9.610325813E0
6.632562168E1,1.197100803E-2,-1.244984865E-1,9.605537415E0
6.657678135E1,2.394201607E-2,-1.101332754E-1,9.615114212E0
6.682772739E1,2.633621916E-2,-1.101332754E-1,9.607931137E0
6.707894810E1,3.112462163E-2,-1.077390760E-1,9.605537415E0
6.733019932E1,2.394201607E-2,-1.077390760E-1,9.605537415E0
6.758142002E1,2.873042040E-2,-9.576806426E-2,9.607931137E0
6.783257969E1,3.351882473E-2,-1.125274822E-1,9.612719536E0
6.808352573E1,2.633621916E-2,-1.149216816E-1,9.622296333E0
6.833474644E1,1.915361360E-2,-1.053448766E-1,9.612719536E0
6.858581455E1,3.112462163E-2,-1.053448766E-1,9.603142738E0
6.883703525E1,1.915361360E-2,-1.029506698E-1,9.591172218E0
6.908822544E1,3.112462163E-2,-1.101332754E-1,9.607931137E0
6.933938511E1,1.915361360E-2,-1.173158810E-1,9.607931137E0
6.959042271E1,1.915361360E-2,-1.005564705E-1,9.612719536E0
6.984170444E1,1.915361360E-2,-1.101332754E-1,9.600749016E0
7.009304722E1,1.675941236E-2,-1.221042871E-1,9.598354340E0
7.034414585E1,2.394201607E-2,-1.029506698E-1,9.610325813E0
7.059536655E1,2.154781483E-2,-1.125274822E-1,9.610325813E0
7.084637363E1,3.112462163E-2,-1.149216816E-1,9.605537415E0
7.109762485E1,2.154781483E-2,-1.125274822E-1,9.612719536E0
7.134899815E1,2.394201607E-2,-1.173158810E-1,9.593565941E0
7.160021749E1,3.351882473E-2,-1.125274822E-1,9.610325813E0
7.185140767E1,1.197100803E-2,-1.197100878E-1,9.612719536E0
7.210253682E1,2.394201607E-2,-1.197100878E-1,9.610325813E0
7.235381856E1,2.154781483E-2,-1.077390760E-1,9.610325813E0
7.260485616E1,2.154781483E-2,-1.077390760E-1,9.612719536E0
7.285586324E1,2.394201607E-2,-1.197100878E-1,9.612719536E0
7.310708394E1,1.915361360E-2,-1.101332754E-1,9.605537415E0
7.335818258E1,2.873042040E-2,-1.125274822E-1,9.610325813E0
7.360934224E1,1.915361360E-2,-1.101332754E-1,9.605537415E0
7.386031881E1,1.915361360E-2,-1.053448766E-1,9.607931137E0
7.411169210E1,1.675941236E-2,-1.077390760E-1,9.605537415E0
7.436300435E1,2.633621916E-2,-1.101332754E-1,9.600749016E0
7.461410299E1,2.873042040E-2,-1.173158810E-1,9.610325813E0
7.486535421E1,1.915361360E-2,-1.101332754E-1,9.607931137E0
7.511642232E1,3.112462163E-2,-1.077390760E-1,9.603142738E0
7.536745992E1,1.915361360E-2,-1.149216816E-1,9.605537415E0
7.561840596E1,2.873042040E-2,-1.029506698E-1,9.607931137E0
7.586938253E1,2.633621916E-2,-1.125274822E-1,9.600749016E0
